Phrase;VARK;Pillar
Tried to breathe and let it ride even though I felt off;Kinesthetic;Control
I talked myself out of spiraling a few times;Visual;Control
I talked myself out of spiraling a few times;Aural;Control
Wasn’t super confident, but I tried to stay composed;Read/Write;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Visual;Confidence
Not my sharpest day, but I kept working through it;Read/Write;Control
Not my sharpest day, but I kept working through it;Read/Write;Focus
I wasn't fully in it, but I managed to keep my cool;Aural;Control
I talked myself out of spiraling a few times;Kinesthetic;Control
Tried to breathe and let it ride even though I felt off;Kinesthetic;Focus
Not my sharpest day, but I kept working through it;Read/Write;Control
Wasn’t super confident, but I tried to stay composed;Aural;Focus
Didn’t get upset, just stayed with it;Aural;Control
Didn’t get upset, just stayed with it;Read/Write;Control
Didn't quite feel dialed in but made it through;Aural;Focus
I was kind of zoning out but still holding it together;Visual;Control
Didn't quite feel dialed in but made it through;Visual;Focus
Wasn’t super confident, but I tried to stay composed;Kinesthetic;Confidence
I was kind of zoning out but still holding it together;Aural;Control
I talked myself out of spiraling a few times;Kinesthetic;Confidence
Didn't quite feel dialed in but made it through;Visual;Confidence
Didn't quite feel dialed in but made it through;Read/Write;Focus
I talked myself out of spiraling a few times;Read/Write;Focus
Tried to breathe and let it ride even though I felt off;Aural;Confidence
Tried to breathe and let it ride even though I felt off;Read/Write;Confidence
I wasn't fully in it, but I managed to keep my cool;Read/Write;Focus
Didn't quite feel dialed in but made it through;Aural;Control
I was kind of zoning out but still holding it together;Visual;Focus
Didn't quite feel dialed in but made it through;Visual;Confidence
My tempo was weird, but I didn’t panic;Kinesthetic;Confidence
My tempo was weird, but I didn’t panic;Kinesthetic;Focus
I talked myself out of spiraling a few times;Visual;Focus
Tried to breathe and let it ride even though I felt off;Kinesthetic;Control
My tempo was weird, but I didn’t panic;Kinesthetic;Confidence
Didn’t get upset, just stayed with it;Aural;Control
My tempo was weird, but I didn’t panic;Kinesthetic;Control
Not my sharpest day, but I kept working through it;Aural;Focus
I wasn't fully in it, but I managed to keep my cool;Read/Write;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Read/Write;Control
Not my sharpest day, but I kept working through it;Aural;Control
Tried to breathe and let it ride even though I felt off;Read/Write;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Kinesthetic;Control
I wasn't fully in it, but I managed to keep my cool;Visual;Focus
My tempo was weird, but I didn’t panic;Read/Write;Confidence
I talked myself out of spiraling a few times;Kinesthetic;Focus
Didn't quite feel dialed in but made it through;Read/Write;Confidence
Tried to breathe and let it ride even though I felt off;Aural;Focus
My tempo was weird, but I didn’t panic;Visual;Focus
Not my sharpest day, but I kept working through it;Kinesthetic;Control
My tempo was weird, but I didn’t panic;Aural;Confidence
Didn’t get upset, just stayed with it;Kinesthetic;Focus
Kept telling myself it’s fine even if it didn’t feel great;Aural;Focus
Didn’t get upset, just stayed with it;Read/Write;Confidence
Tried to breathe and let it ride even though I felt off;Aural;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Visual;Confidence
I talked myself out of spiraling a few times;Visual;Control
Kept telling myself it’s fine even if it didn’t feel great;Read/Write;Focus
Kept telling myself it’s fine even if it didn’t feel great;Visual;Focus
Didn't quite feel dialed in but made it through;Aural;Confidence
I wasn't fully in it, but I managed to keep my cool;Read/Write;Control
My tempo was weird, but I didn’t panic;Kinesthetic;Confidence
Not my sharpest day, but I kept working through it;Aural;Confidence
My tempo was weird, but I didn’t panic;Aural;Focus
I was kind of zoning out but still holding it together;Aural;Confidence
Not my sharpest day, but I kept working through it;Aural;Focus
I was kind of zoning out but still holding it together;Aural;Focus
Didn’t get upset, just stayed with it;Visual;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Visual;Control
I wasn't fully in it, but I managed to keep my cool;Aural;Confidence
Wasn’t super confident, but I tried to stay composed;Kinesthetic;Focus
I wasn't fully in it, but I managed to keep my cool;Aural;Confidence
Not my sharpest day, but I kept working through it;Read/Write;Confidence
I talked myself out of spiraling a few times;Read/Write;Control
Wasn’t super confident, but I tried to stay composed;Read/Write;Control
I was kind of zoning out but still holding it together;Kinesthetic;Confidence
Didn't quite feel dialed in but made it through;Read/Write;Focus
Kept telling myself it’s fine even if it didn’t feel great;Kinesthetic;Control
Didn't quite feel dialed in but made it through;Kinesthetic;Focus
Didn’t get upset, just stayed with it;Kinesthetic;Focus
My tempo was weird, but I didn’t panic;Read/Write;Focus
Didn’t get upset, just stayed with it;Visual;Focus
I was kind of zoning out but still holding it together;Kinesthetic;Control
I wasn't fully in it, but I managed to keep my cool;Aural;Control
Wasn’t super confident, but I tried to stay composed;Kinesthetic;Control
I wasn't fully in it, but I managed to keep my cool;Kinesthetic;Control
Tried to breathe and let it ride even though I felt off;Visual;Focus
Not my sharpest day, but I kept working through it;Aural;Confidence
My tempo was weird, but I didn’t panic;Aural;Control
Didn't quite feel dialed in but made it through;Visual;Focus
I was kind of zoning out but still holding it together;Visual;Control
I talked myself out of spiraling a few times;Read/Write;Confidence
My tempo was weird, but I didn’t panic;Aural;Control
Tried to breathe and let it ride even though I felt off;Visual;Control
Tried to breathe and let it ride even though I felt off;Kinesthetic;Focus
Didn't quite feel dialed in but made it through;Aural;Control
Wasn’t super confident, but I tried to stay composed;Kinesthetic;Control
Didn’t get upset, just stayed with it;Visual;Confidence
Wasn’t super confident, but I tried to stay composed;Aural;Confidence
Didn't quite feel dialed in but made it through;Aural;Control
Didn't quite feel dialed in but made it through;Aural;Confidence
I wasn't fully in it, but I managed to keep my cool;Kinesthetic;Confidence
My tempo was weird, but I didn’t panic;Read/Write;Control
My tempo was weird, but I didn’t panic;Read/Write;Control
Not my sharpest day, but I kept working through it;Aural;Control
Not my sharpest day, but I kept working through it;Kinesthetic;Control
Didn't quite feel dialed in but made it through;Visual;Control
Wasn’t super confident, but I tried to stay composed;Kinesthetic;Focus
My tempo was weird, but I didn’t panic;Visual;Confidence
Wasn’t super confident, but I tried to stay composed;Read/Write;Confidence
I talked myself out of spiraling a few times;Visual;Focus
I wasn't fully in it, but I managed to keep my cool;Aural;Focus
Kept telling myself it’s fine even if it didn’t feel great;Visual;Focus
Not my sharpest day, but I kept working through it;Read/Write;Focus
Not my sharpest day, but I kept working through it;Aural;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Visual;Control
Not my sharpest day, but I kept working through it;Kinesthetic;Control
Kept telling myself it’s fine even if it didn’t feel great;Aural;Focus
Tried to breathe and let it ride even though I felt off;Visual;Control
Didn’t get upset, just stayed with it;Kinesthetic;Focus
Wasn’t super confident, but I tried to stay composed;Aural;Confidence
Tried to breathe and let it ride even though I felt off;Visual;Confidence
I talked myself out of spiraling a few times;Kinesthetic;Confidence
I wasn't fully in it, but I managed to keep my cool;Read/Write;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Kinesthetic;Control
Tried to breathe and let it ride even though I felt off;Kinesthetic;Confidence
I talked myself out of spiraling a few times;Kinesthetic;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Kinesthetic;Control
Didn't quite feel dialed in but made it through;Kinesthetic;Control
Kept telling myself it’s fine even if it didn’t feel great;Aural;Focus
I talked myself out of spiraling a few times;Read/Write;Control
Didn't quite feel dialed in but made it through;Visual;Focus
Didn’t get upset, just stayed with it;Visual;Confidence
Wasn’t super confident, but I tried to stay composed;Kinesthetic;Focus
Kept telling myself it’s fine even if it didn’t feel great;Visual;Focus
Tried to breathe and let it ride even though I felt off;Visual;Control
I wasn't fully in it, but I managed to keep my cool;Kinesthetic;Control
Not my sharpest day, but I kept working through it;Visual;Confidence
Not my sharpest day, but I kept working through it;Kinesthetic;Focus
Tried to breathe and let it ride even though I felt off;Aural;Focus
Didn’t get upset, just stayed with it;Read/Write;Focus
I was kind of zoning out but still holding it together;Read/Write;Control
I was kind of zoning out but still holding it together;Visual;Focus
Tried to breathe and let it ride even though I felt off;Aural;Control
I was kind of zoning out but still holding it together;Aural;Control
I wasn't fully in it, but I managed to keep my cool;Kinesthetic;Confidence
I talked myself out of spiraling a few times;Read/Write;Control
Tried to breathe and let it ride even though I felt off;Read/Write;Confidence
Didn't quite feel dialed in but made it through;Read/Write;Control
Wasn’t super confident, but I tried to stay composed;Kinesthetic;Confidence
Wasn’t super confident, but I tried to stay composed;Read/Write;Control
Didn't quite feel dialed in but made it through;Aural;Confidence
Tried to breathe and let it ride even though I felt off;Read/Write;Focus
I talked myself out of spiraling a few times;Read/Write;Confidence
Wasn’t super confident, but I tried to stay composed;Read/Write;Control
My tempo was weird, but I didn’t panic;Kinesthetic;Control
Kept telling myself it’s fine even if it didn’t feel great;Aural;Confidence
Didn't quite feel dialed in but made it through;Aural;Focus
Didn't quite feel dialed in but made it through;Aural;Confidence
I was kind of zoning out but still holding it together;Kinesthetic;Focus
I talked myself out of spiraling a few times;Visual;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Visual;Confidence
I was kind of zoning out but still holding it together;Read/Write;Confidence
Didn't quite feel dialed in but made it through;Visual;Focus
Kept telling myself it’s fine even if it didn’t feel great;Read/Write;Focus
I wasn't fully in it, but I managed to keep my cool;Aural;Focus
Kept telling myself it’s fine even if it didn’t feel great;Aural;Control
Didn't quite feel dialed in but made it through;Kinesthetic;Focus
I wasn't fully in it, but I managed to keep my cool;Visual;Confidence
Tried to breathe and let it ride even though I felt off;Visual;Focus
I was kind of zoning out but still holding it together;Visual;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Visual;Control
Didn’t get upset, just stayed with it;Kinesthetic;Focus
I talked myself out of spiraling a few times;Kinesthetic;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Aural;Focus
Not my sharpest day, but I kept working through it;Kinesthetic;Control
I was kind of zoning out but still holding it together;Read/Write;Confidence
I was kind of zoning out but still holding it together;Kinesthetic;Control
I talked myself out of spiraling a few times;Aural;Focus
I was kind of zoning out but still holding it together;Read/Write;Focus
I talked myself out of spiraling a few times;Visual;Focus
Didn't quite feel dialed in but made it through;Aural;Control
Didn’t get upset, just stayed with it;Aural;Focus
Kept telling myself it’s fine even if it didn’t feel great;Kinesthetic;Focus
Not my sharpest day, but I kept working through it;Read/Write;Focus
Kept telling myself it’s fine even if it didn’t feel great;Visual;Control
I wasn't fully in it, but I managed to keep my cool;Visual;Confidence
I wasn't fully in it, but I managed to keep my cool;Visual;Control
I was kind of zoning out but still holding it together;Visual;Focus
I talked myself out of spiraling a few times;Kinesthetic;Control
Didn’t get upset, just stayed with it;Kinesthetic;Control
I wasn't fully in it, but I managed to keep my cool;Aural;Control
Tried to breathe and let it ride even though I felt off;Aural;Focus
I was kind of zoning out but still holding it together;Aural;Control
Wasn’t super confident, but I tried to stay composed;Visual;Confidence
Wasn’t super confident, but I tried to stay composed;Visual;Control
Not my sharpest day, but I kept working through it;Aural;Confidence
Didn't quite feel dialed in but made it through;Read/Write;Control
Didn't quite feel dialed in but made it through;Aural;Control
I wasn't fully in it, but I managed to keep my cool;Visual;Control
I talked myself out of spiraling a few times;Read/Write;Confidence
I wasn't fully in it, but I managed to keep my cool;Visual;Confidence
Not my sharpest day, but I kept working through it;Visual;Focus
Kept telling myself it’s fine even if it didn’t feel great;Read/Write;Control
Tried to breathe and let it ride even though I felt off;Kinesthetic;Control
My tempo was weird, but I didn’t panic;Read/Write;Focus
Wasn’t super confident, but I tried to stay composed;Read/Write;Focus
My tempo was weird, but I didn’t panic;Kinesthetic;Focus
Didn’t get upset, just stayed with it;Read/Write;Control
Kept telling myself it’s fine even if it didn’t feel great;Kinesthetic;Focus
Wasn’t super confident, but I tried to stay composed;Read/Write;Confidence
Didn't quite feel dialed in but made it through;Read/Write;Control
Tried to breathe and let it ride even though I felt off;Read/Write;Control
Kept telling myself it’s fine even if it didn’t feel great;Kinesthetic;Confidence
I was kind of zoning out but still holding it together;Read/Write;Confidence
Tried to breathe and let it ride even though I felt off;Kinesthetic;Focus
Didn’t get upset, just stayed with it;Aural;Focus
Didn’t get upset, just stayed with it;Aural;Control
Kept telling myself it’s fine even if it didn’t feel great;Kinesthetic;Confidence
Wasn’t super confident, but I tried to stay composed;Visual;Confidence
I talked myself out of spiraling a few times;Read/Write;Control
Didn’t get upset, just stayed with it;Kinesthetic;Confidence
Tried to breathe and let it ride even though I felt off;Visual;Confidence
I talked myself out of spiraling a few times;Visual;Control
Kept telling myself it’s fine even if it didn’t feel great;Read/Write;Control
Not my sharpest day, but I kept working through it;Visual;Focus
Didn’t get upset, just stayed with it;Aural;Focus
Wasn’t super confident, but I tried to stay composed;Visual;Control
Didn't quite feel dialed in but made it through;Aural;Confidence
Didn’t get upset, just stayed with it;Visual;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Read/Write;Control
Didn't quite feel dialed in but made it through;Aural;Control
Not my sharpest day, but I kept working through it;Visual;Focus
I was kind of zoning out but still holding it together;Visual;Control
I talked myself out of spiraling a few times;Aural;Control
My tempo was weird, but I didn’t panic;Visual;Control
Kept telling myself it’s fine even if it didn’t feel great;Aural;Control
I wasn't fully in it, but I managed to keep my cool;Read/Write;Control
Wasn’t super confident, but I tried to stay composed;Visual;Control
I was kind of zoning out but still holding it together;Read/Write;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Read/Write;Focus
My tempo was weird, but I didn’t panic;Aural;Confidence
Tried to breathe and let it ride even though I felt off;Read/Write;Confidence
I was kind of zoning out but still holding it together;Aural;Focus
Didn't quite feel dialed in but made it through;Visual;Focus
My tempo was weird, but I didn’t panic;Kinesthetic;Focus
I wasn't fully in it, but I managed to keep my cool;Visual;Control
My tempo was weird, but I didn’t panic;Aural;Control
I was kind of zoning out but still holding it together;Visual;Control
I wasn't fully in it, but I managed to keep my cool;Read/Write;Confidence
Not my sharpest day, but I kept working through it;Read/Write;Control
Wasn’t super confident, but I tried to stay composed;Aural;Confidence
I was kind of zoning out but still holding it together;Visual;Confidence
Tried to breathe and let it ride even though I felt off;Kinesthetic;Control
Not my sharpest day, but I kept working through it;Visual;Confidence
Wasn’t super confident, but I tried to stay composed;Read/Write;Focus
My tempo was weird, but I didn’t panic;Aural;Control
Not my sharpest day, but I kept working through it;Kinesthetic;Focus
I talked myself out of spiraling a few times;Aural;Control
Tried to breathe and let it ride even though I felt off;Aural;Confidence
I wasn't fully in it, but I managed to keep my cool;Aural;Control
Not my sharpest day, but I kept working through it;Kinesthetic;Control
Not my sharpest day, but I kept working through it;Read/Write;Control
Kept telling myself it’s fine even if it didn’t feel great;Aural;Confidence
My tempo was weird, but I didn’t panic;Visual;Control
Wasn’t super confident, but I tried to stay composed;Visual;Focus
I talked myself out of spiraling a few times;Kinesthetic;Focus
I was kind of zoning out but still holding it together;Aural;Confidence
Not my sharpest day, but I kept working through it;Read/Write;Confidence
My tempo was weird, but I didn’t panic;Kinesthetic;Confidence
Didn’t get upset, just stayed with it;Visual;Control
I talked myself out of spiraling a few times;Read/Write;Focus
I was kind of zoning out but still holding it together;Aural;Confidence
Didn’t get upset, just stayed with it;Visual;Control
Wasn’t super confident, but I tried to stay composed;Aural;Focus
Wasn’t super confident, but I tried to stay composed;Aural;Confidence
I wasn't fully in it, but I managed to keep my cool;Visual;Confidence
Tried to breathe and let it ride even though I felt off;Kinesthetic;Confidence
I talked myself out of spiraling a few times;Read/Write;Confidence
I was kind of zoning out but still holding it together;Aural;Control
I talked myself out of spiraling a few times;Kinesthetic;Control
Didn't quite feel dialed in but made it through;Read/Write;Confidence
Wasn’t super confident, but I tried to stay composed;Aural;Control
Tried to breathe and let it ride even though I felt off;Read/Write;Focus
Kept telling myself it’s fine even if it didn’t feel great;Read/Write;Confidence
I talked myself out of spiraling a few times;Visual;Confidence
Didn’t get upset, just stayed with it;Kinesthetic;Control
Tried to breathe and let it ride even though I felt off;Visual;Confidence
I talked myself out of spiraling a few times;Visual;Confidence
I wasn't fully in it, but I managed to keep my cool;Visual;Focus
Tried to breathe and let it ride even though I felt off;Kinesthetic;Control
Kept telling myself it’s fine even if it didn’t feel great;Read/Write;Confidence
Not my sharpest day, but I kept working through it;Read/Write;Confidence
Wasn’t super confident, but I tried to stay composed;Aural;Confidence
Tried to breathe and let it ride even though I felt off;Read/Write;Focus
I was kind of zoning out but still holding it together;Visual;Confidence
Tried to breathe and let it ride even though I felt off;Aural;Control
I was kind of zoning out but still holding it together;Aural;Confidence
Didn't quite feel dialed in but made it through;Visual;Control
My tempo was weird, but I didn’t panic;Kinesthetic;Confidence
Didn’t get upset, just stayed with it;Visual;Control
Wasn’t super confident, but I tried to stay composed;Read/Write;Control
Didn’t get upset, just stayed with it;Visual;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Aural;Confidence
I wasn't fully in it, but I managed to keep my cool;Aural;Control
My tempo was weird, but I didn’t panic;Read/Write;Focus
Kept telling myself it’s fine even if it didn’t feel great;Visual;Control
I wasn't fully in it, but I managed to keep my cool;Aural;Focus
I wasn't fully in it, but I managed to keep my cool;Kinesthetic;Confidence
Tried to breathe and let it ride even though I felt off;Aural;Control
I was kind of zoning out but still holding it together;Visual;Control
I was kind of zoning out but still holding it together;Visual;Confidence
Wasn’t super confident, but I tried to stay composed;Aural;Confidence
Didn't quite feel dialed in but made it through;Kinesthetic;Focus
I was kind of zoning out but still holding it together;Aural;Control
My tempo was weird, but I didn’t panic;Aural;Focus
Didn’t get upset, just stayed with it;Read/Write;Control
Kept telling myself it’s fine even if it didn’t feel great;Aural;Focus
I was kind of zoning out but still holding it together;Kinesthetic;Focus
I wasn't fully in it, but I managed to keep my cool;Visual;Control
Not my sharpest day, but I kept working through it;Kinesthetic;Control
I was kind of zoning out but still holding it together;Read/Write;Confidence
I wasn't fully in it, but I managed to keep my cool;Read/Write;Control
Wasn’t super confident, but I tried to stay composed;Aural;Confidence
Tried to breathe and let it ride even though I felt off;Kinesthetic;Focus
I was kind of zoning out but still holding it together;Read/Write;Focus
Not my sharpest day, but I kept working through it;Aural;Control
I wasn't fully in it, but I managed to keep my cool;Read/Write;Control
Not my sharpest day, but I kept working through it;Kinesthetic;Confidence
Tried to breathe and let it ride even though I felt off;Aural;Focus
Tried to breathe and let it ride even though I felt off;Read/Write;Control
Tried to breathe and let it ride even though I felt off;Visual;Control
Wasn’t super confident, but I tried to stay composed;Read/Write;Focus
Wasn’t super confident, but I tried to stay composed;Visual;Confidence
Not my sharpest day, but I kept working through it;Visual;Focus
Didn't quite feel dialed in but made it through;Aural;Focus
I was kind of zoning out but still holding it together;Visual;Focus
Wasn’t super confident, but I tried to stay composed;Kinesthetic;Focus
I was kind of zoning out but still holding it together;Read/Write;Control
Didn't quite feel dialed in but made it through;Visual;Focus
Wasn’t super confident, but I tried to stay composed;Read/Write;Control
I wasn't fully in it, but I managed to keep my cool;Aural;Focus
Didn’t get upset, just stayed with it;Visual;Focus
I wasn't fully in it, but I managed to keep my cool;Read/Write;Control
My tempo was weird, but I didn’t panic;Kinesthetic;Confidence
I wasn't fully in it, but I managed to keep my cool;Aural;Confidence
I talked myself out of spiraling a few times;Visual;Focus
Not my sharpest day, but I kept working through it;Read/Write;Control
My tempo was weird, but I didn’t panic;Visual;Confidence
Didn't quite feel dialed in but made it through;Visual;Focus
Didn’t get upset, just stayed with it;Visual;Control
Not my sharpest day, but I kept working through it;Visual;Focus
Not my sharpest day, but I kept working through it;Kinesthetic;Control
I was kind of zoning out but still holding it together;Kinesthetic;Focus
Didn't quite feel dialed in but made it through;Visual;Focus
I was kind of zoning out but still holding it together;Visual;Focus
Not my sharpest day, but I kept working through it;Visual;Focus
I was kind of zoning out but still holding it together;Visual;Focus
I was kind of zoning out but still holding it together;Aural;Confidence
Didn't quite feel dialed in but made it through;Read/Write;Focus
Not my sharpest day, but I kept working through it;Read/Write;Confidence
Didn’t get upset, just stayed with it;Kinesthetic;Control
Not my sharpest day, but I kept working through it;Aural;Focus
I wasn't fully in it, but I managed to keep my cool;Visual;Confidence
Didn't quite feel dialed in but made it through;Read/Write;Control
I was kind of zoning out but still holding it together;Aural;Control
I wasn't fully in it, but I managed to keep my cool;Aural;Confidence
Tried to breathe and let it ride even though I felt off;Visual;Focus
My tempo was weird, but I didn’t panic;Visual;Control
I was kind of zoning out but still holding it together;Visual;Focus
Tried to breathe and let it ride even though I felt off;Visual;Confidence
Not my sharpest day, but I kept working through it;Visual;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Kinesthetic;Control
Kept telling myself it’s fine even if it didn’t feel great;Visual;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Visual;Focus
Didn't quite feel dialed in but made it through;Read/Write;Confidence
I wasn't fully in it, but I managed to keep my cool;Aural;Confidence
Didn’t get upset, just stayed with it;Aural;Confidence
Wasn’t super confident, but I tried to stay composed;Visual;Focus
Didn’t get upset, just stayed with it;Aural;Confidence
Didn’t get upset, just stayed with it;Visual;Confidence
I was kind of zoning out but still holding it together;Kinesthetic;Confidence
I talked myself out of spiraling a few times;Visual;Confidence
My tempo was weird, but I didn’t panic;Visual;Confidence
Didn’t get upset, just stayed with it;Read/Write;Focus
Not my sharpest day, but I kept working through it;Aural;Control
Didn't quite feel dialed in but made it through;Visual;Focus
Didn't quite feel dialed in but made it through;Kinesthetic;Focus
Didn’t get upset, just stayed with it;Read/Write;Confidence
Not my sharpest day, but I kept working through it;Kinesthetic;Confidence
I talked myself out of spiraling a few times;Read/Write;Control
Wasn’t super confident, but I tried to stay composed;Aural;Confidence
I talked myself out of spiraling a few times;Aural;Control
My tempo was weird, but I didn’t panic;Aural;Confidence
I talked myself out of spiraling a few times;Read/Write;Focus
I wasn't fully in it, but I managed to keep my cool;Visual;Focus
Didn't quite feel dialed in but made it through;Kinesthetic;Control
I talked myself out of spiraling a few times;Aural;Control
My tempo was weird, but I didn’t panic;Read/Write;Control
I wasn't fully in it, but I managed to keep my cool;Read/Write;Control
Didn't quite feel dialed in but made it through;Visual;Control
Didn’t get upset, just stayed with it;Read/Write;Focus
I wasn't fully in it, but I managed to keep my cool;Aural;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Aural;Control
Wasn’t super confident, but I tried to stay composed;Visual;Control
Didn’t get upset, just stayed with it;Read/Write;Confidence
Wasn’t super confident, but I tried to stay composed;Aural;Control
My tempo was weird, but I didn’t panic;Read/Write;Control
Tried to breathe and let it ride even though I felt off;Read/Write;Focus
Kept telling myself it’s fine even if it didn’t feel great;Visual;Confidence
Tried to breathe and let it ride even though I felt off;Read/Write;Confidence
My tempo was weird, but I didn’t panic;Visual;Control
I talked myself out of spiraling a few times;Aural;Focus
Not my sharpest day, but I kept working through it;Kinesthetic;Focus
I was kind of zoning out but still holding it together;Read/Write;Control
Not my sharpest day, but I kept working through it;Kinesthetic;Control
Wasn’t super confident, but I tried to stay composed;Aural;Confidence
Wasn’t super confident, but I tried to stay composed;Aural;Focus
Tried to breathe and let it ride even though I felt off;Visual;Control
Wasn’t super confident, but I tried to stay composed;Visual;Control
Didn’t get upset, just stayed with it;Kinesthetic;Confidence
Tried to breathe and let it ride even though I felt off;Aural;Control
My tempo was weird, but I didn’t panic;Visual;Confidence
Didn’t get upset, just stayed with it;Visual;Confidence
Wasn’t super confident, but I tried to stay composed;Visual;Control
My tempo was weird, but I didn’t panic;Aural;Focus
