Section,Phrase,Intent,Tags,Notes
Section 9: Combined Intent Voice Commands,"Two good shots then lost focus on the approach, right?",Performance.Positive + Mindset.Distracted,,Positive + mindset drop
Section 9: Combined Intent Voice Commands,"Two-putt par after calming myself, total trust",Score.Par + Mindset.CalmControl,,Score + mindset
Section 9: Combined Intent Voice Commands,"Made par even though I was distracted, bounced back fast",Score.Par + Mindset.Distracted,,Score + mindset
Section 9: Combined Intent Voice Commands,"Made bogey but confident I followed my plan, just like I practiced",Score.Bogey + Summary.Strategy,,Score + strategy reflection
Section 9: Combined Intent Voice Commands,"Saved par with deep breathing, stayed neutral",Score.Par + Cue.DeepBreath,,Score + cue
Section 9: Combined Intent Voice Commands,"Bogey on the last but kept my focus, focus held",Score.Bogey + Mindset.PeakFocus,,Score + mindset
Section 9: Combined Intent Voice Commands,"Saved par with deep breathing, full routine followed",Score.Par + Cue.DeepBreath,,Score + cue
Section 9: Combined Intent Voice Commands,"Made bogey but confident I followed my plan, stayed neutral",Score.Bogey + Summary.Strategy,,Score + strategy reflection
Section 9: Combined Intent Voice Commands,"Missed fairway but stayed calm, kept breathing",Performance.Negative + Mindset.CalmControl,,Outcome + mindset
Section 9: Combined Intent Voice Commands,"Triple on 3 but trusted my pre-shot routine, focus held",Score.Triple + Routine.PreShot,,Score + routine
Section 9: Combined Intent Voice Commands,"Missed short putt but kept emotions in check, total trust",Performance.Negative + Mindset.CalmControl,,Negative + mindset
Section 9: Combined Intent Voice Commands,"Missed the green but let it go quickly, full routine followed",Performance.Negative + Cue.LettingGo,,Event + cue
Section 9: Combined Intent Voice Commands,"Made par even though I was distracted, even with pressure",Score.Par + Mindset.Distracted,,Score + mindset
Section 9: Combined Intent Voice Commands,Made par even though I was distracted,Score.Par + Mindset.Distracted,,Score + mindset
Section 9: Combined Intent Voice Commands,Bogey on the last but kept my focus,Score.Bogey + Mindset.PeakFocus,,Score + mindset
Section 9: Combined Intent Voice Commands,"Bogey on the last but kept my focus, even with pressure",Score.Bogey + Mindset.PeakFocus,,Score + mindset
Section 9: Combined Intent Voice Commands,"Mental win after hitting it in the bunker, visualized perfectly",Performance.Recovery + Summary.Calm,,Recovery + summary
Section 9: Combined Intent Voice Commands,"Scrambled for bogey after a bad tee shot, stayed neutral",Score.Bogey + Performance.Recovery,,Score + recovery
Section 9: Combined Intent Voice Commands,"Triple on 3 but trusted my pre-shot routine, right?",Score.Triple + Routine.PreShot,,Score + routine
Section 9: Combined Intent Voice Commands,"Bogeyed 5 but reset well and stayed calm, focus held",Score.Bogey + Cue.Reset + Mindset.CalmControl,,Hole + cue + mindset
Section 9: Combined Intent Voice Commands,"Birdie after a full visualization, even with pressure",Score.Birdie + Cue.Visualization,,Score + cue
Section 9: Combined Intent Voice Commands,Birdied 7 after visualizing the shot.,Score.Birdie + Cue.Visualization,,Score + cue
Section 9: Combined Intent Voice Commands,Bogeyed 5 but reset well and stayed calm.,Score.Bogey + Cue.Reset + Mindset.CalmControl,,Hole + cue + mindset
Section 9: Combined Intent Voice Commands,"Two good shots then lost focus on the approach, and stayed in it",Performance.Positive + Mindset.Distracted,,Positive + mindset drop
Section 9: Combined Intent Voice Commands,"Missed fairway but stayed calm, and stayed in it",Performance.Negative + Mindset.CalmControl,,Outcome + mindset
Section 9: Combined Intent Voice Commands,"Missed short putt but kept emotions in check, coach",Performance.Negative + Mindset.CalmControl,,Negative + mindset
Section 9: Combined Intent Voice Commands,"Bogeyed 5 but reset well and stayed calm, even with pressure",Score.Bogey + Cue.Reset + Mindset.CalmControl,,Hole + cue + mindset
Section 9: Combined Intent Voice Commands,"Scrambled for bogey after a bad tee shot, mental win",Score.Bogey + Performance.Recovery,,Score + recovery
Section 9: Combined Intent Voice Commands,"Two good shots then lost focus on the approach, coach",Performance.Positive + Mindset.Distracted,,Positive + mindset drop
Section 9: Combined Intent Voice Commands,"Mental win after hitting it in the bunker, focus held",Performance.Recovery + Summary.Calm,,Recovery + summary
Section 9: Combined Intent Voice Commands,"Par save thanks to my post-shot reset, which felt great",Score.Par + Routine.PostShot + Cue.Reset,,Score + routine + cue
Section 9: Combined Intent Voice Commands,"Birdied 7 after visualizing the shot, full routine followed",Score.Birdie + Cue.Visualization,,Score + cue
Section 9: Combined Intent Voice Commands,"Birdied 7 after visualizing the shot, stayed neutral",Score.Birdie + Cue.Visualization,,Score + cue
Section 9: Combined Intent Voice Commands,"Par save thanks to my post-shot reset, emotional control locked in",Score.Par + Routine.PostShot + Cue.Reset,,Score + routine + cue
Section 9: Combined Intent Voice Commands,Hit the fairway after a trigger word.,Performance.Positive + Cue.TriggerWord,,Outcome + cue
Section 9: Combined Intent Voice Commands,"Hit the fairway after a trigger word, even with pressure",Performance.Positive + Cue.TriggerWord,,Outcome + cue
Section 9: Combined Intent Voice Commands,"Saved par with deep breathing, mental win",Score.Par + Cue.DeepBreath,,Score + cue
Section 9: Combined Intent Voice Commands,"Missed short putt but kept emotions in check, mental win",Performance.Negative + Mindset.CalmControl,,Negative + mindset
Section 9: Combined Intent Voice Commands,"Triple on 3 but trusted my pre-shot routine, stayed neutral",Score.Triple + Routine.PreShot,,Score + routine
Section 9: Combined Intent Voice Commands,Triple on 3 but trusted my pre-shot routine,Score.Triple + Routine.PreShot,,Score + routine
Section 9: Combined Intent Voice Commands,"Made bogey but confident I followed my plan, which felt great",Score.Bogey + Summary.Strategy,,Score + strategy reflection
Section 9: Combined Intent Voice Commands,"Felt scattered and missed the putt, kept breathing",Mindset.Scattered + Performance.Negative,,Mindset + event
Section 9: Combined Intent Voice Commands,"Hit the fairway after a trigger word, stayed neutral",Performance.Positive + Cue.TriggerWord,,Outcome + cue
Section 9: Combined Intent Voice Commands,"Made par even though I was distracted, bounced back fast",Score.Par + Mindset.Distracted,,Score + mindset
Section 9: Combined Intent Voice Commands,"Bogey on the last but kept my focus, focus held",Score.Bogey + Mindset.PeakFocus,,Score + mindset
Section 9: Combined Intent Voice Commands,"Made bogey but confident I followed my plan, and stayed in it",Score.Bogey + Summary.Strategy,,Score + strategy reflection
Section 9: Combined Intent Voice Commands,"Made par even though I was distracted, total trust",Score.Par + Mindset.Distracted,,Score + mindset
Section 9: Combined Intent Voice Commands,"Saved par with deep breathing, stayed neutral",Score.Par + Cue.DeepBreath,,Score + cue
Section 9: Combined Intent Voice Commands,"Mental win after hitting it in the bunker, and stayed in it",Performance.Recovery + Summary.Calm,,Recovery + summary
Section 9: Combined Intent Voice Commands,"Felt scattered and missed the putt, mental win",Mindset.Scattered + Performance.Negative,,Mindset + event
Section 9: Combined Intent Voice Commands,"Made par even though I was distracted, coach",Score.Par + Mindset.Distracted,,Score + mindset
Section 9: Combined Intent Voice Commands,"Made bogey but confident I followed my plan, focus held",Score.Bogey + Summary.Strategy,,Score + strategy reflection
Section 9: Combined Intent Voice Commands,"Hit the fairway after a trigger word, kept breathing",Performance.Positive + Cue.TriggerWord,,Outcome + cue
Section 9: Combined Intent Voice Commands,"Hit the fairway after a trigger word, even with pressure",Performance.Positive + Cue.TriggerWord,,Outcome + cue
Section 9: Combined Intent Voice Commands,"Mental win after hitting it in the bunker, even with pressure",Performance.Recovery + Summary.Calm,,Recovery + summary
Section 9: Combined Intent Voice Commands,"Mental win after hitting it in the bunker, coach",Performance.Recovery + Summary.Calm,,Recovery + summary
Section 9: Combined Intent Voice Commands,Two good shots then lost focus on the approach.,Performance.Positive + Mindset.Distracted,,Positive + mindset drop
Section 9: Combined Intent Voice Commands,"Made bogey but confident I followed my plan, emotional control locked in",Score.Bogey + Summary.Strategy,,Score + strategy reflection
Section 9: Combined Intent Voice Commands,"Bogeyed 5 but reset well and stayed calm, stayed neutral",Score.Bogey + Cue.Reset + Mindset.CalmControl,,Hole + cue + mindset
Section 9: Combined Intent Voice Commands,"Birdied 7 after visualizing the shot, even with pressure",Score.Birdie + Cue.Visualization,,Score + cue
Section 9: Combined Intent Voice Commands,"Missed fairway but stayed calm, stayed neutral",Performance.Negative + Mindset.CalmControl,,Outcome + mindset
Section 9: Combined Intent Voice Commands,"Mental win after hitting it in the bunker, visualized perfectly",Performance.Recovery + Summary.Calm,,Recovery + summary
Section 9: Combined Intent Voice Commands,"Hooked my drive but bounced back with a reset, and stayed in it",Performance.Negative + Performance.Recovery + Cue.Reset,,Event + recovery + cue
Section 9: Combined Intent Voice Commands,"Par save thanks to my post-shot reset, just like I practiced",Score.Par + Routine.PostShot + Cue.Reset,,Score + routine + cue
Section 9: Combined Intent Voice Commands,"Mental win after hitting it in the bunker, and stayed in it",Performance.Recovery + Summary.Calm,,Recovery + summary
Section 9: Combined Intent Voice Commands,"Scrambled for bogey after a bad tee shot, right?",Score.Bogey + Performance.Recovery,,Score + recovery
Section 9: Combined Intent Voice Commands,Felt scattered and missed the putt,Mindset.Scattered + Performance.Negative,,Mindset + event
Section 9: Combined Intent Voice Commands,"Scrambled for bogey after a bad tee shot, focus held",Score.Bogey + Performance.Recovery,,Score + recovery
Section 9: Combined Intent Voice Commands,"Missed the green but let it go quickly, full routine followed",Performance.Negative + Cue.LettingGo,,Event + cue
Section 9: Combined Intent Voice Commands,"Two good shots then lost focus on the approach, full routine followed",Performance.Positive + Mindset.Distracted,,Positive + mindset drop
Section 9: Combined Intent Voice Commands,Made par even though I was distracted,Score.Par + Mindset.Distracted,,Score + mindset
Section 9: Combined Intent Voice Commands,"Mental win after hitting it in the bunker, focus held",Performance.Recovery + Summary.Calm,,Recovery + summary
Section 9: Combined Intent Voice Commands,"Missed short putt but kept emotions in check, visualized perfectly",Performance.Negative + Mindset.CalmControl,,Negative + mindset
Section 9: Combined Intent Voice Commands,"Hit the fairway after a trigger word, kept breathing",Performance.Positive + Cue.TriggerWord,,Outcome + cue
Section 9: Combined Intent Voice Commands,"Felt scattered and missed the putt, emotional control locked in",Mindset.Scattered + Performance.Negative,,Mindset + event
Section 9: Combined Intent Voice Commands,"Felt scattered and missed the putt, full routine followed",Mindset.Scattered + Performance.Negative,,Mindset + event
Section 9: Combined Intent Voice Commands,"Felt scattered and missed the putt, mental win",Mindset.Scattered + Performance.Negative,,Mindset + event
Section 9: Combined Intent Voice Commands,"Birdied 7 after visualizing the shot, focus held",Score.Birdie + Cue.Visualization,,Score + cue
Section 9: Combined Intent Voice Commands,"Saved par with deep breathing, total trust",Score.Par + Cue.DeepBreath,,Score + cue
Section 9: Combined Intent Voice Commands,Par save thanks to my post-shot reset.,Score.Par + Routine.PostShot + Cue.Reset,,Score + routine + cue
Section 9: Combined Intent Voice Commands,"Double bogey but learned from it, mental win",Score.Double + Summary.Learning,,Score + reflection
Section 9: Combined Intent Voice Commands,"Mental win after hitting it in the bunker, stayed neutral",Performance.Recovery + Summary.Calm,,Recovery + summary
Section 9: Combined Intent Voice Commands,Bogeyed 5 but reset well and stayed calm,Score.Bogey + Cue.Reset + Mindset.CalmControl,,Hole + cue + mindset
Section 9: Combined Intent Voice Commands,"Par save thanks to my post-shot reset, focus held",Score.Par + Routine.PostShot + Cue.Reset,,Score + routine + cue
Section 9: Combined Intent Voice Commands,"Hit the fairway after a trigger word, which felt great",Performance.Positive + Cue.TriggerWord,,Outcome + cue
Section 9: Combined Intent Voice Commands,"Saved par with deep breathing, even with pressure",Score.Par + Cue.DeepBreath,,Score + cue
Section 9: Combined Intent Voice Commands,"Hooked my drive but bounced back with a reset, and stayed in it",Performance.Negative + Performance.Recovery + Cue.Reset,,Event + recovery + cue
Section 9: Combined Intent Voice Commands,"Mental win after hitting it in the bunker, emotional control locked in",Performance.Recovery + Summary.Calm,,Recovery + summary
Section 9: Combined Intent Voice Commands,"Double bogey but learned from it, mental win",Score.Double + Summary.Learning,,Score + reflection
Section 9: Combined Intent Voice Commands,"Bogey on the last but kept my focus, stayed neutral",Score.Bogey + Mindset.PeakFocus,,Score + mindset
Section 9: Combined Intent Voice Commands,"Two-putt par after calming myself, emotional control locked in",Score.Par + Mindset.CalmControl,,Score + mindset
Section 9: Combined Intent Voice Commands,"Missed short putt but kept emotions in check, which felt great",Performance.Negative + Mindset.CalmControl,,Negative + mindset
Section 9: Combined Intent Voice Commands,"Missed short putt but kept emotions in check, emotional control locked in",Performance.Negative + Mindset.CalmControl,,Negative + mindset
Section 9: Combined Intent Voice Commands,"Hooked my drive but bounced back with a reset, coach",Performance.Negative + Performance.Recovery + Cue.Reset,,Event + recovery + cue
Section 9: Combined Intent Voice Commands,"Felt scattered and missed the putt, and stayed in it",Mindset.Scattered + Performance.Negative,,Mindset + event
Section 9: Combined Intent Voice Commands,"Par save thanks to my post-shot reset, coach",Score.Par + Routine.PostShot + Cue.Reset,,Score + routine + cue
Section 9: Combined Intent Voice Commands,"Birdied 7 after visualizing the shot, right?",Score.Birdie + Cue.Visualization,,Score + cue
Section 9: Combined Intent Voice Commands,"Triple on 3 but trusted my pre-shot routine, mental win",Score.Triple + Routine.PreShot,,Score + routine
Section 9: Combined Intent Voice Commands,"Two-putt par after calming myself, visualized perfectly",Score.Par + Mindset.CalmControl,,Score + mindset
Section 9: Combined Intent Voice Commands,"Hooked my drive but bounced back with a reset, and stayed in it",Performance.Negative + Performance.Recovery + Cue.Reset,,Event + recovery + cue
Section 9: Combined Intent Voice Commands,"Birdie after a full visualization, focus held",Score.Birdie + Cue.Visualization,,Score + cue
Section 9: Combined Intent Voice Commands,"Two-putt par after calming myself, visualized perfectly",Score.Par + Mindset.CalmControl,,Score + mindset
Section 9: Combined Intent Voice Commands,"Missed short putt but kept emotions in check, even with pressure",Performance.Negative + Mindset.CalmControl,,Negative + mindset
Section 9: Combined Intent Voice Commands,"Double bogey but learned from it, even with pressure",Score.Double + Summary.Learning,,Score + reflection
Section 9: Combined Intent Voice Commands,"Par save thanks to my post-shot reset, stayed neutral",Score.Par + Routine.PostShot + Cue.Reset,,Score + routine + cue
Section 9: Combined Intent Voice Commands,"Birdied 7 after visualizing the shot, mental win",Score.Birdie + Cue.Visualization,,Score + cue
Section 9: Combined Intent Voice Commands,"Double bogey but learned from it, focus held",Score.Double + Summary.Learning,,Score + reflection
Section 9: Combined Intent Voice Commands,"Two good shots then lost focus on the approach, and stayed in it",Performance.Positive + Mindset.Distracted,,Positive + mindset drop
Section 9: Combined Intent Voice Commands,"Missed short putt but kept emotions in check, full routine followed",Performance.Negative + Mindset.CalmControl,,Negative + mindset
Section 9: Combined Intent Voice Commands,Mental win after hitting it in the bunker,Performance.Recovery + Summary.Calm,,Recovery + summary
Section 9: Combined Intent Voice Commands,"Two-putt par after calming myself, total trust",Score.Par + Mindset.CalmControl,,Score + mindset
Section 9: Combined Intent Voice Commands,"Bogeyed 5 but reset well and stayed calm, stayed neutral",Score.Bogey + Cue.Reset + Mindset.CalmControl,,Hole + cue + mindset
Section 9: Combined Intent Voice Commands,"Mental win after hitting it in the bunker, bounced back fast",Performance.Recovery + Summary.Calm,,Recovery + summary
Section 9: Combined Intent Voice Commands,"Triple on 3 but trusted my pre-shot routine, total trust",Score.Triple + Routine.PreShot,,Score + routine
Section 9: Combined Intent Voice Commands,"Missed short putt but kept emotions in check, and stayed in it",Performance.Negative + Mindset.CalmControl,,Negative + mindset
Section 9: Combined Intent Voice Commands,"Hooked my drive but bounced back with a reset, stayed neutral",Performance.Negative + Performance.Recovery + Cue.Reset,,Event + recovery + cue
Section 9: Combined Intent Voice Commands,Hooked my drive but bounced back with a reset.,Performance.Negative + Performance.Recovery + Cue.Reset,,Event + recovery + cue
Section 9: Combined Intent Voice Commands,"Hooked my drive but bounced back with a reset, stayed neutral",Performance.Negative + Performance.Recovery + Cue.Reset,,Event + recovery + cue
Section 9: Combined Intent Voice Commands,"Double bogey but learned from it, total trust",Score.Double + Summary.Learning,,Score + reflection
Section 9: Combined Intent Voice Commands,"Double bogey but learned from it, and stayed in it",Score.Double + Summary.Learning,,Score + reflection
Section 9: Combined Intent Voice Commands,"Missed short putt but kept emotions in check, coach",Performance.Negative + Mindset.CalmControl,,Negative + mindset
Section 9: Combined Intent Voice Commands,Triple on 3 but trusted my pre-shot routine,Score.Triple + Routine.PreShot,,Score + routine
Section 9: Combined Intent Voice Commands,"Par save thanks to my post-shot reset, coach",Score.Par + Routine.PostShot + Cue.Reset,,Score + routine + cue
Section 9: Combined Intent Voice Commands,"Missed the green but let it go quickly, just like I practiced",Performance.Negative + Cue.LettingGo,,Event + cue
Section 9: Combined Intent Voice Commands,"Two-putt par after calming myself, total trust",Score.Par + Mindset.CalmControl,,Score + mindset
Section 9: Combined Intent Voice Commands,"Birdie after a full visualization, stayed neutral",Score.Birdie + Cue.Visualization,,Score + cue
Section 9: Combined Intent Voice Commands,Birdie after a full visualization.,Score.Birdie + Cue.Visualization,,Score + cue
Section 9: Combined Intent Voice Commands,"Mental win after hitting it in the bunker, emotional control locked in",Performance.Recovery + Summary.Calm,,Recovery + summary
Section 9: Combined Intent Voice Commands,"Hit the fairway after a trigger word, just like I practiced",Performance.Positive + Cue.TriggerWord,,Outcome + cue
Section 9: Combined Intent Voice Commands,"Missed the green but let it go quickly, coach",Performance.Negative + Cue.LettingGo,,Event + cue
Section 9: Combined Intent Voice Commands,"Mental win after hitting it in the bunker, visualized perfectly",Performance.Recovery + Summary.Calm,,Recovery + summary
Section 9: Combined Intent Voice Commands,"Birdie after a full visualization, total trust",Score.Birdie + Cue.Visualization,,Score + cue
Section 9: Combined Intent Voice Commands,"Par save thanks to my post-shot reset, and stayed in it",Score.Par + Routine.PostShot + Cue.Reset,,Score + routine + cue
Section 9: Combined Intent Voice Commands,"Bogey on the last but kept my focus, and stayed in it",Score.Bogey + Mindset.PeakFocus,,Score + mindset
Section 9: Combined Intent Voice Commands,"Birdie after a full visualization, right?",Score.Birdie + Cue.Visualization,,Score + cue
Section 9: Combined Intent Voice Commands,Birdied 7 after visualizing the shot,Score.Birdie + Cue.Visualization,,Score + cue
Section 9: Combined Intent Voice Commands,"Hit the fairway after a trigger word, right?",Performance.Positive + Cue.TriggerWord,,Outcome + cue
Section 9: Combined Intent Voice Commands,"Two good shots then lost focus on the approach, mental win",Performance.Positive + Mindset.Distracted,,Positive + mindset drop
Section 9: Combined Intent Voice Commands,"Birdie after a full visualization, mental win",Score.Birdie + Cue.Visualization,,Score + cue
Section 9: Combined Intent Voice Commands,"Made bogey but confident I followed my plan, bounced back fast",Score.Bogey + Summary.Strategy,,Score + strategy reflection
Section 9: Combined Intent Voice Commands,"Par save thanks to my post-shot reset, stayed neutral",Score.Par + Routine.PostShot + Cue.Reset,,Score + routine + cue
Section 9: Combined Intent Voice Commands,"Scrambled for bogey after a bad tee shot, total trust",Score.Bogey + Performance.Recovery,,Score + recovery
Section 9: Combined Intent Voice Commands,"Two good shots then lost focus on the approach, just like I practiced",Performance.Positive + Mindset.Distracted,,Positive + mindset drop
Section 9: Combined Intent Voice Commands,"Mental win after hitting it in the bunker, just like I practiced",Performance.Recovery + Summary.Calm,,Recovery + summary
Section 9: Combined Intent Voice Commands,"Missed the green but let it go quickly, even with pressure",Performance.Negative + Cue.LettingGo,,Event + cue
Section 9: Combined Intent Voice Commands,"Double bogey but learned from it, total trust",Score.Double + Summary.Learning,,Score + reflection
Section 9: Combined Intent Voice Commands,"Bogeyed 5 but reset well and stayed calm, even with pressure",Score.Bogey + Cue.Reset + Mindset.CalmControl,,Hole + cue + mindset
Section 9: Combined Intent Voice Commands,"Bogey on the last but kept my focus, focus held",Score.Bogey + Mindset.PeakFocus,,Score + mindset
Section 9: Combined Intent Voice Commands,"Hit the fairway after a trigger word, right?",Performance.Positive + Cue.TriggerWord,,Outcome + cue
Section 9: Combined Intent Voice Commands,"Hooked my drive but bounced back with a reset, emotional control locked in",Performance.Negative + Performance.Recovery + Cue.Reset,,Event + recovery + cue
