User Phrase;VARK Style;Pillar;Mood
I kinda zoned out mid-round 😶;Read/Write;Control;confused
Wait, so was I supposed to breathe there?;Aural;Focus;confused
Not feelin' my routine today 😕;Visual;Confidence;excited
I actually crushed it this time!;Visual;Confidence;excited
Not feelin' my routine today 😕;Kinesthetic;Control;bored
Wait, so was I supposed to breathe there?;Aural;Focus;confused
Pretty sure my confidence just leveled up 🔥;Visual;Confidence;shy
Does this count as visualization?;Kinesthetic;Confidence;pumped
Hey coach, was that reset okay?;Visual;Control;confused
Ugh, total brain fog on that hole...;Kinesthetic;Focus;confused
Wait, so was I supposed to breathe there?;Aural;Confidence;excited
Wait, so was I supposed to breathe there?;Kinesthetic;Control;bored
Whoa, I just aced my focus drill!;Read/Write;Focus;confused
I kinda zoned out mid-round 😶;Kinesthetic;Confidence;confused
Can I get a redo on that swing?;Visual;Control;excited
Does this count as visualization?;Aural;Confidence;confused
Hey coach, was that reset okay?;Read/Write;Confidence;confused
Does this count as visualization?;Kinesthetic;Control;confused
I kinda zoned out mid-round 😶;Aural;Focus;excited
I actually crushed it this time!;Visual;Focus;confused
Ugh, total brain fog on that hole...;Aural;Focus;pumped
Not feelin' my routine today 😕;Visual;Control;pumped
I actually crushed it this time!;Kinesthetic;Control;pumped
Wait, so was I supposed to breathe there?;Read/Write;Confidence;pumped
Not feelin' my routine today 😕;Read/Write;Control;bored
Wait, so was I supposed to breathe there?;Aural;Confidence;excited
I kinda zoned out mid-round 😶;Aural;Control;bored
Hey coach, was that reset okay?;Read/Write;Confidence;bored
I kinda zoned out mid-round 😶;Read/Write;Control;confused
Not feelin' my routine today 😕;Read/Write;Control;pumped
Hey coach, was that reset okay?;Visual;Confidence;excited
Whoa, I just aced my focus drill!;Visual;Focus;confused
Whoa, I just aced my focus drill!;Kinesthetic;Confidence;confused
Whoa, I just aced my focus drill!;Visual;Focus;bored
Pretty sure my confidence just leveled up 🔥;Aural;Control;bored
Not feelin' my routine today 😕;Aural;Focus;pumped
Can I get a redo on that swing?;Visual;Confidence;shy
Pretty sure my confidence just leveled up 🔥;Visual;Confidence;shy
Wait, so was I supposed to breathe there?;Visual;Control;shy
Whoa, I just aced my focus drill!;Kinesthetic;Confidence;bored
Ugh, total brain fog on that hole...;Read/Write;Focus;confused
I kinda zoned out mid-round 😶;Read/Write;Control;pumped
Does this count as visualization?;Read/Write;Confidence;bored
Hey coach, was that reset okay?;Kinesthetic;Focus;shy
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Control;confused
I kinda zoned out mid-round 😶;Kinesthetic;Control;shy
Hey coach, was that reset okay?;Read/Write;Confidence;confused
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Focus;confused
I actually crushed it this time!;Kinesthetic;Focus;pumped
Pretty sure my confidence just leveled up 🔥;Read/Write;Focus;confused
I actually crushed it this time!;Visual;Focus;excited
Does this count as visualization?;Read/Write;Confidence;pumped
Whoa, I just aced my focus drill!;Kinesthetic;Focus;bored
Can I get a redo on that swing?;Aural;Focus;bored
Whoa, I just aced my focus drill!;Kinesthetic;Control;bored
I actually crushed it this time!;Kinesthetic;Confidence;bored
Hey coach, was that reset okay?;Kinesthetic;Control;shy
I kinda zoned out mid-round 😶;Kinesthetic;Control;bored
Not feelin' my routine today 😕;Visual;Confidence;shy
Wait, so was I supposed to breathe there?;Kinesthetic;Focus;bored
Ugh, total brain fog on that hole...;Visual;Control;shy
Pretty sure my confidence just leveled up 🔥;Read/Write;Focus;pumped
Can I get a redo on that swing?;Kinesthetic;Confidence;pumped
Ugh, total brain fog on that hole...;Read/Write;Control;excited
Whoa, I just aced my focus drill!;Read/Write;Confidence;confused
Ugh, total brain fog on that hole...;Visual;Focus;bored
Not feelin' my routine today 😕;Visual;Control;pumped
Hey coach, was that reset okay?;Kinesthetic;Confidence;shy
Wait, so was I supposed to breathe there?;Read/Write;Focus;excited
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Focus;confused
I kinda zoned out mid-round 😶;Visual;Focus;shy
I actually crushed it this time!;Visual;Control;confused
Not feelin' my routine today 😕;Visual;Control;pumped
Whoa, I just aced my focus drill!;Kinesthetic;Focus;pumped
Ugh, total brain fog on that hole...;Aural;Control;bored
Ugh, total brain fog on that hole...;Aural;Focus;bored
Can I get a redo on that swing?;Visual;Control;bored
Hey coach, was that reset okay?;Kinesthetic;Control;pumped
Ugh, total brain fog on that hole...;Aural;Focus;confused
Not feelin' my routine today 😕;Kinesthetic;Control;confused
I kinda zoned out mid-round 😶;Aural;Control;excited
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Focus;shy
Whoa, I just aced my focus drill!;Aural;Confidence;pumped
I kinda zoned out mid-round 😶;Aural;Confidence;shy
Does this count as visualization?;Read/Write;Focus;bored
I kinda zoned out mid-round 😶;Aural;Focus;shy
Can I get a redo on that swing?;Aural;Control;excited
Does this count as visualization?;Visual;Confidence;confused
I actually crushed it this time!;Kinesthetic;Control;confused
Pretty sure my confidence just leveled up 🔥;Aural;Focus;pumped
Hey coach, was that reset okay?;Visual;Control;confused
Ugh, total brain fog on that hole...;Read/Write;Confidence;pumped
Hey coach, was that reset okay?;Read/Write;Confidence;excited
Whoa, I just aced my focus drill!;Aural;Focus;shy
Does this count as visualization?;Aural;Control;excited
Pretty sure my confidence just leveled up 🔥;Read/Write;Control;shy
Pretty sure my confidence just leveled up 🔥;Aural;Confidence;confused
Hey coach, was that reset okay?;Aural;Control;excited
I actually crushed it this time!;Visual;Focus;bored
Pretty sure my confidence just leveled up 🔥;Read/Write;Confidence;shy
Can I get a redo on that swing?;Aural;Confidence;excited
Whoa, I just aced my focus drill!;Visual;Confidence;pumped
Wait, so was I supposed to breathe there?;Kinesthetic;Focus;confused
I kinda zoned out mid-round 😶;Kinesthetic;Focus;pumped
I actually crushed it this time!;Visual;Focus;bored
I kinda zoned out mid-round 😶;Kinesthetic;Confidence;confused
I actually crushed it this time!;Visual;Focus;excited
Can I get a redo on that swing?;Visual;Focus;excited
Hey coach, was that reset okay?;Kinesthetic;Focus;shy
Wait, so was I supposed to breathe there?;Read/Write;Focus;shy
Hey coach, was that reset okay?;Visual;Confidence;excited
Wait, so was I supposed to breathe there?;Visual;Confidence;shy
Ugh, total brain fog on that hole...;Kinesthetic;Control;pumped
Whoa, I just aced my focus drill!;Read/Write;Focus;shy
Ugh, total brain fog on that hole...;Kinesthetic;Confidence;confused
Wait, so was I supposed to breathe there?;Kinesthetic;Control;shy
Pretty sure my confidence just leveled up 🔥;Aural;Confidence;pumped
Not feelin' my routine today 😕;Visual;Focus;pumped
Whoa, I just aced my focus drill!;Aural;Confidence;excited
Not feelin' my routine today 😕;Visual;Control;bored
Can I get a redo on that swing?;Visual;Focus;shy
Hey coach, was that reset okay?;Read/Write;Focus;confused
Can I get a redo on that swing?;Kinesthetic;Confidence;pumped
Ugh, total brain fog on that hole...;Kinesthetic;Confidence;bored
Pretty sure my confidence just leveled up 🔥;Visual;Focus;pumped
Wait, so was I supposed to breathe there?;Aural;Focus;bored
I actually crushed it this time!;Aural;Control;bored
Does this count as visualization?;Read/Write;Confidence;bored
Whoa, I just aced my focus drill!;Read/Write;Focus;confused
Not feelin' my routine today 😕;Read/Write;Focus;excited
Does this count as visualization?;Visual;Focus;bored
I kinda zoned out mid-round 😶;Read/Write;Focus;confused
Ugh, total brain fog on that hole...;Visual;Confidence;shy
Not feelin' my routine today 😕;Kinesthetic;Focus;bored
Pretty sure my confidence just leveled up 🔥;Visual;Confidence;pumped
Can I get a redo on that swing?;Visual;Control;shy
Not feelin' my routine today 😕;Kinesthetic;Focus;confused
Ugh, total brain fog on that hole...;Aural;Focus;excited
Does this count as visualization?;Visual;Confidence;confused
Whoa, I just aced my focus drill!;Visual;Control;shy
Hey coach, was that reset okay?;Aural;Control;pumped
Not feelin' my routine today 😕;Visual;Focus;shy
Ugh, total brain fog on that hole...;Aural;Confidence;bored
Pretty sure my confidence just leveled up 🔥;Visual;Focus;excited
Can I get a redo on that swing?;Read/Write;Control;bored
Pretty sure my confidence just leveled up 🔥;Read/Write;Focus;confused
Wait, so was I supposed to breathe there?;Aural;Confidence;excited
Wait, so was I supposed to breathe there?;Aural;Control;excited
Wait, so was I supposed to breathe there?;Aural;Confidence;pumped
Hey coach, was that reset okay?;Visual;Focus;pumped
I kinda zoned out mid-round 😶;Kinesthetic;Confidence;shy
Whoa, I just aced my focus drill!;Kinesthetic;Focus;pumped
Whoa, I just aced my focus drill!;Kinesthetic;Control;confused
Does this count as visualization?;Kinesthetic;Focus;bored
Ugh, total brain fog on that hole...;Kinesthetic;Control;confused
Hey coach, was that reset okay?;Read/Write;Confidence;shy
Not feelin' my routine today 😕;Aural;Focus;shy
Wait, so was I supposed to breathe there?;Kinesthetic;Control;pumped
Wait, so was I supposed to breathe there?;Aural;Focus;confused
Wait, so was I supposed to breathe there?;Read/Write;Focus;shy
Pretty sure my confidence just leveled up 🔥;Visual;Confidence;bored
Pretty sure my confidence just leveled up 🔥;Visual;Focus;shy
Hey coach, was that reset okay?;Read/Write;Control;pumped
Wait, so was I supposed to breathe there?;Aural;Confidence;shy
Does this count as visualization?;Aural;Control;shy
I actually crushed it this time!;Kinesthetic;Control;bored
I actually crushed it this time!;Aural;Control;shy
Does this count as visualization?;Visual;Confidence;excited
Hey coach, was that reset okay?;Visual;Confidence;shy
Ugh, total brain fog on that hole...;Aural;Focus;shy
Does this count as visualization?;Aural;Control;shy
Hey coach, was that reset okay?;Read/Write;Confidence;excited
Ugh, total brain fog on that hole...;Visual;Control;excited
Ugh, total brain fog on that hole...;Read/Write;Confidence;confused
Can I get a redo on that swing?;Read/Write;Confidence;shy
Not feelin' my routine today 😕;Read/Write;Focus;pumped
I actually crushed it this time!;Visual;Control;confused
Ugh, total brain fog on that hole...;Visual;Focus;confused
Does this count as visualization?;Read/Write;Control;pumped
Wait, so was I supposed to breathe there?;Aural;Control;excited
Not feelin' my routine today 😕;Visual;Confidence;bored
Does this count as visualization?;Visual;Control;excited
Whoa, I just aced my focus drill!;Visual;Focus;confused
Whoa, I just aced my focus drill!;Aural;Confidence;shy
I kinda zoned out mid-round 😶;Aural;Control;bored
Ugh, total brain fog on that hole...;Kinesthetic;Control;pumped
Pretty sure my confidence just leveled up 🔥;Read/Write;Control;shy
Wait, so was I supposed to breathe there?;Aural;Focus;pumped
Not feelin' my routine today 😕;Visual;Control;bored
Ugh, total brain fog on that hole...;Kinesthetic;Focus;bored
I actually crushed it this time!;Read/Write;Confidence;confused
Not feelin' my routine today 😕;Kinesthetic;Focus;bored
Not feelin' my routine today 😕;Visual;Control;shy
Does this count as visualization?;Aural;Control;bored
Wait, so was I supposed to breathe there?;Aural;Confidence;shy
Hey coach, was that reset okay?;Kinesthetic;Focus;shy
Pretty sure my confidence just leveled up 🔥;Aural;Confidence;shy
Pretty sure my confidence just leveled up 🔥;Aural;Control;shy
I actually crushed it this time!;Visual;Focus;shy
I kinda zoned out mid-round 😶;Visual;Focus;confused
I kinda zoned out mid-round 😶;Kinesthetic;Control;excited
Hey coach, was that reset okay?;Aural;Confidence;pumped
Does this count as visualization?;Aural;Focus;excited
Whoa, I just aced my focus drill!;Aural;Focus;pumped
Not feelin' my routine today 😕;Kinesthetic;Control;confused
Hey coach, was that reset okay?;Aural;Control;confused
I actually crushed it this time!;Visual;Focus;excited
I actually crushed it this time!;Visual;Confidence;bored
I actually crushed it this time!;Visual;Control;pumped
Can I get a redo on that swing?;Aural;Control;confused
Wait, so was I supposed to breathe there?;Visual;Focus;pumped
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Confidence;pumped
I actually crushed it this time!;Kinesthetic;Confidence;shy
Whoa, I just aced my focus drill!;Kinesthetic;Focus;shy
Can I get a redo on that swing?;Visual;Focus;excited
Hey coach, was that reset okay?;Kinesthetic;Focus;excited
Whoa, I just aced my focus drill!;Read/Write;Focus;excited
I actually crushed it this time!;Kinesthetic;Control;confused
Not feelin' my routine today 😕;Aural;Control;confused
Wait, so was I supposed to breathe there?;Read/Write;Control;bored
Can I get a redo on that swing?;Aural;Confidence;shy
Hey coach, was that reset okay?;Aural;Control;shy
Does this count as visualization?;Aural;Focus;bored
Wait, so was I supposed to breathe there?;Visual;Confidence;bored
Ugh, total brain fog on that hole...;Kinesthetic;Confidence;shy
Wait, so was I supposed to breathe there?;Read/Write;Focus;confused
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Control;shy
I actually crushed it this time!;Read/Write;Control;pumped
I kinda zoned out mid-round 😶;Visual;Confidence;bored
I actually crushed it this time!;Kinesthetic;Confidence;pumped
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Confidence;shy
I kinda zoned out mid-round 😶;Visual;Confidence;pumped
Pretty sure my confidence just leveled up 🔥;Aural;Confidence;confused
Does this count as visualization?;Aural;Focus;pumped
Can I get a redo on that swing?;Kinesthetic;Confidence;shy
I actually crushed it this time!;Read/Write;Focus;bored
Not feelin' my routine today 😕;Kinesthetic;Control;shy
Does this count as visualization?;Visual;Focus;bored
Does this count as visualization?;Visual;Focus;excited
Wait, so was I supposed to breathe there?;Read/Write;Control;shy
Hey coach, was that reset okay?;Kinesthetic;Focus;excited
Whoa, I just aced my focus drill!;Aural;Focus;pumped
Wait, so was I supposed to breathe there?;Read/Write;Control;shy
Wait, so was I supposed to breathe there?;Visual;Focus;shy
Pretty sure my confidence just leveled up 🔥;Read/Write;Control;excited
Ugh, total brain fog on that hole...;Visual;Focus;bored
I actually crushed it this time!;Kinesthetic;Focus;bored
Whoa, I just aced my focus drill!;Read/Write;Control;shy
Hey coach, was that reset okay?;Kinesthetic;Focus;bored
Does this count as visualization?;Read/Write;Focus;confused
Hey coach, was that reset okay?;Read/Write;Focus;shy
Not feelin' my routine today 😕;Aural;Control;pumped
Whoa, I just aced my focus drill!;Aural;Control;shy
Whoa, I just aced my focus drill!;Kinesthetic;Confidence;shy
I actually crushed it this time!;Kinesthetic;Focus;bored
Hey coach, was that reset okay?;Kinesthetic;Focus;bored
Whoa, I just aced my focus drill!;Aural;Focus;bored
Pretty sure my confidence just leveled up 🔥;Aural;Confidence;shy
Whoa, I just aced my focus drill!;Visual;Control;shy
Pretty sure my confidence just leveled up 🔥;Visual;Confidence;pumped
Wait, so was I supposed to breathe there?;Visual;Focus;bored
Ugh, total brain fog on that hole...;Kinesthetic;Confidence;shy
Not feelin' my routine today 😕;Visual;Focus;pumped
Ugh, total brain fog on that hole...;Kinesthetic;Focus;confused
Pretty sure my confidence just leveled up 🔥;Aural;Control;bored
Does this count as visualization?;Visual;Control;pumped
Ugh, total brain fog on that hole...;Kinesthetic;Control;pumped
Does this count as visualization?;Kinesthetic;Focus;excited
Whoa, I just aced my focus drill!;Kinesthetic;Confidence;excited
Hey coach, was that reset okay?;Kinesthetic;Focus;pumped
Not feelin' my routine today 😕;Read/Write;Control;confused
Not feelin' my routine today 😕;Visual;Focus;bored
I actually crushed it this time!;Aural;Control;confused
Whoa, I just aced my focus drill!;Visual;Focus;excited
Not feelin' my routine today 😕;Read/Write;Control;excited
Pretty sure my confidence just leveled up 🔥;Aural;Focus;confused
Hey coach, was that reset okay?;Visual;Focus;confused
Wait, so was I supposed to breathe there?;Read/Write;Control;bored
I kinda zoned out mid-round 😶;Read/Write;Confidence;excited
Does this count as visualization?;Aural;Focus;excited
I kinda zoned out mid-round 😶;Visual;Confidence;shy
Whoa, I just aced my focus drill!;Aural;Control;shy
Whoa, I just aced my focus drill!;Aural;Confidence;excited
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Control;confused
Not feelin' my routine today 😕;Aural;Focus;shy
Hey coach, was that reset okay?;Aural;Focus;pumped
Hey coach, was that reset okay?;Kinesthetic;Control;confused
Can I get a redo on that swing?;Visual;Control;excited
I kinda zoned out mid-round 😶;Kinesthetic;Control;bored
Does this count as visualization?;Read/Write;Control;bored
Can I get a redo on that swing?;Aural;Focus;pumped
I kinda zoned out mid-round 😶;Kinesthetic;Confidence;pumped
Does this count as visualization?;Read/Write;Focus;excited
Not feelin' my routine today 😕;Kinesthetic;Control;shy
Whoa, I just aced my focus drill!;Aural;Control;confused
Does this count as visualization?;Aural;Confidence;pumped
Wait, so was I supposed to breathe there?;Kinesthetic;Confidence;bored
Ugh, total brain fog on that hole...;Kinesthetic;Control;pumped
Does this count as visualization?;Aural;Confidence;confused
Ugh, total brain fog on that hole...;Aural;Focus;excited
I kinda zoned out mid-round 😶;Read/Write;Control;excited
Hey coach, was that reset okay?;Visual;Control;excited
Hey coach, was that reset okay?;Read/Write;Control;confused
Does this count as visualization?;Visual;Control;shy
Ugh, total brain fog on that hole...;Visual;Control;confused
Hey coach, was that reset okay?;Aural;Focus;confused
Ugh, total brain fog on that hole...;Visual;Control;shy
Can I get a redo on that swing?;Kinesthetic;Control;confused
Ugh, total brain fog on that hole...;Kinesthetic;Control;excited
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Control;shy
Does this count as visualization?;Read/Write;Confidence;pumped
Pretty sure my confidence just leveled up 🔥;Visual;Control;confused
I actually crushed it this time!;Aural;Control;shy
I kinda zoned out mid-round 😶;Aural;Confidence;pumped
I actually crushed it this time!;Read/Write;Control;excited
Pretty sure my confidence just leveled up 🔥;Aural;Focus;pumped
Can I get a redo on that swing?;Kinesthetic;Confidence;bored
I kinda zoned out mid-round 😶;Read/Write;Control;excited
Does this count as visualization?;Read/Write;Confidence;confused
Does this count as visualization?;Kinesthetic;Focus;shy
Wait, so was I supposed to breathe there?;Read/Write;Focus;excited
Can I get a redo on that swing?;Visual;Focus;pumped
Wait, so was I supposed to breathe there?;Read/Write;Control;confused
I actually crushed it this time!;Visual;Control;pumped
Can I get a redo on that swing?;Read/Write;Control;bored
I kinda zoned out mid-round 😶;Visual;Confidence;confused
Hey coach, was that reset okay?;Kinesthetic;Control;confused
Ugh, total brain fog on that hole...;Aural;Confidence;shy
I kinda zoned out mid-round 😶;Visual;Control;confused
Can I get a redo on that swing?;Aural;Focus;bored
I kinda zoned out mid-round 😶;Read/Write;Control;shy
I kinda zoned out mid-round 😶;Read/Write;Confidence;confused
I actually crushed it this time!;Kinesthetic;Confidence;pumped
Wait, so was I supposed to breathe there?;Kinesthetic;Control;bored
Ugh, total brain fog on that hole...;Kinesthetic;Confidence;excited
Can I get a redo on that swing?;Visual;Control;shy
Whoa, I just aced my focus drill!;Aural;Control;bored
Wait, so was I supposed to breathe there?;Visual;Confidence;shy
I actually crushed it this time!;Kinesthetic;Control;bored
Does this count as visualization?;Aural;Focus;excited
I actually crushed it this time!;Kinesthetic;Confidence;confused
I actually crushed it this time!;Kinesthetic;Control;bored
Whoa, I just aced my focus drill!;Visual;Focus;shy
Hey coach, was that reset okay?;Kinesthetic;Focus;excited
