Section,Phrase,Intent,Tags,Notes
Section 10: Practice-to-FoCoMap Voice Commands,"Highlight today’s tempo work as mental growth, calm practice",Journal.Practice.Range + Map.Add.GrowthLabel,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark alignment practice as a reset success, growth moment",Journal.Practice.Alignment + Map.Add.ResetSuccess,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,Mark alignment practice as a reset success for tracking,Journal.Practice.Alignment + Map.Add.ResetSuccess,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Tag slow-motion swings as a reset routine, mental boost",Journal.Practice.SlowMotion + Map.Add.ResetSuccess,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Add this short-game challenge to my FoCoMap, to help next round",Journal.Practice.ShortGame + Map.Add.General,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Pin that wedge drill as a focus win, to review later",Journal.Practice.Wedge + Map.Add.FocusWin,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Add today’s cue testing as a visualization success, mental boost",Journal.Practice.VisualCues + Map.Tag.Visualization,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Add today’s cue testing as a visualization success, calm practice",Journal.Practice.VisualCues + Map.Tag.Visualization,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Add today’s dispersion tracking as a data insight, coach",Journal.Practice.Stats + Map.Add.General,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,Add today’s dispersion tracking as a data insight.,Journal.Practice.Stats + Map.Add.General,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark this putting drill as a mental breakthrough, calm practice",Journal.Practice.Putting + Map.Add.Breakthrough,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark this putting drill as a mental breakthrough, success",Journal.Practice.Putting + Map.Add.Breakthrough,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Pin this skills challenge as a confidence boost, success",Journal.Practice.SkillsChallenge + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Mark my breathing practice as a calm focus, calm practice",Journal.Practice.Breathing + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Pin today’s mental checklist as a calm pressure win, success",Journal.Practice.MentalRoutine + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Add today’s dispersion tracking as a data insight, calm practice",Journal.Practice.Stats + Map.Add.General,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark this putting drill as a mental breakthrough, mental boost",Journal.Practice.Putting + Map.Add.Breakthrough,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,Mark that focus game with my coach for review for tracking,Journal.Practice.CoachDrills + Map.Add.ForReview,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Highlight today’s tempo work as mental growth, to help next round",Journal.Practice.Range + Map.Add.GrowthLabel,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark alignment practice as a reset success, progress marker",Journal.Practice.Alignment + Map.Add.ResetSuccess,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark my breathing practice as a calm focus, success",Journal.Practice.Breathing + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Mark this putting drill as a mental breakthrough, pre-shot prep",Journal.Practice.Putting + Map.Add.Breakthrough,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Add this short-game challenge to my FoCoMap, to review later",Journal.Practice.ShortGame + Map.Add.General,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark alignment practice as a reset success, success",Journal.Practice.Alignment + Map.Add.ResetSuccess,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Pin that wedge drill as a focus win, improvement log",Journal.Practice.Wedge + Map.Add.FocusWin,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Add today’s cue testing as a visualization success, confidence drill",Journal.Practice.VisualCues + Map.Tag.Visualization,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark my breathing practice as a calm focus, progress marker",Journal.Practice.Breathing + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Pin my tournament simulation as a pressure drill, to help next round",Journal.Practice.Pressure + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Mark this putting drill as a mental breakthrough, building routine",Journal.Practice.Putting + Map.Add.Breakthrough,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Add this short-game challenge to my FoCoMap, improvement log",Journal.Practice.ShortGame + Map.Add.General,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Add today’s dispersion tracking as a data insight, coach",Journal.Practice.Stats + Map.Add.General,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,Mark alignment practice as a reset success.,Journal.Practice.Alignment + Map.Add.ResetSuccess,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark this putting drill as a mental breakthrough, growth moment",Journal.Practice.Putting + Map.Add.Breakthrough,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,Tag that range session for review,Journal.Practice.Range + Map.Add.ForReview,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,Tag that range session for review.,Journal.Practice.Range + Map.Add.ForReview,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,Add today’s cue testing as a visualization success for tracking,Journal.Practice.VisualCues + Map.Tag.Visualization,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark this putting drill as a mental breakthrough, growth moment",Journal.Practice.Putting + Map.Add.Breakthrough,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Add today’s dispersion tracking as a data insight, calm practice",Journal.Practice.Stats + Map.Add.General,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark that focus game with my coach for review, growth moment",Journal.Practice.CoachDrills + Map.Add.ForReview,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Add this short-game challenge to my FoCoMap, progress marker",Journal.Practice.ShortGame + Map.Add.General,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark my breathing practice as a calm focus, coach",Journal.Practice.Breathing + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,Pin my tournament simulation as a pressure drill for tracking,Journal.Practice.Pressure + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Tag slow-motion swings as a reset routine, success",Journal.Practice.SlowMotion + Map.Add.ResetSuccess,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Add this bunker practice as recovery training, pre-shot prep",Journal.Practice.RecoveryShots + Map.Tag.Recovery,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Add today’s dispersion tracking as a data insight, building routine",Journal.Practice.Stats + Map.Add.General,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Pin today’s mental checklist as a calm pressure win, to help next round",Journal.Practice.MentalRoutine + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Tag that range session for review, to review later",Journal.Practice.Range + Map.Add.ForReview,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark this putting drill as a mental breakthrough, building routine",Journal.Practice.Putting + Map.Add.Breakthrough,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,Pin today’s mental checklist as a calm pressure win,Journal.Practice.MentalRoutine + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Pin my tournament simulation as a pressure drill, confidence drill",Journal.Practice.Pressure + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Add this short-game challenge to my FoCoMap, success",Journal.Practice.ShortGame + Map.Add.General,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,Pin my tournament simulation as a pressure drill,Journal.Practice.Pressure + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Mark alignment practice as a reset success, calm practice",Journal.Practice.Alignment + Map.Add.ResetSuccess,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Pin this skills challenge as a confidence boost, mental boost",Journal.Practice.SkillsChallenge + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Add this short-game challenge to my FoCoMap, to review later",Journal.Practice.ShortGame + Map.Add.General,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,Mark this putting drill as a mental breakthrough for tracking,Journal.Practice.Putting + Map.Add.Breakthrough,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark that focus game with my coach for review, coach",Journal.Practice.CoachDrills + Map.Add.ForReview,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Add today’s cue testing as a visualization success, mental boost",Journal.Practice.VisualCues + Map.Tag.Visualization,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Highlight today’s tempo work as mental growth, coach",Journal.Practice.Range + Map.Add.GrowthLabel,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Add today’s dispersion tracking as a data insight, pre-shot prep",Journal.Practice.Stats + Map.Add.General,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Pin today’s mental checklist as a calm pressure win, pre-shot prep",Journal.Practice.MentalRoutine + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Pin today’s mental checklist as a calm pressure win, to review later",Journal.Practice.MentalRoutine + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Pin that wedge drill as a focus win, building routine",Journal.Practice.Wedge + Map.Add.FocusWin,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Tag slow-motion swings as a reset routine, confidence drill",Journal.Practice.SlowMotion + Map.Add.ResetSuccess,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark alignment practice as a reset success, confidence drill",Journal.Practice.Alignment + Map.Add.ResetSuccess,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Tag slow-motion swings as a reset routine, to help next round",Journal.Practice.SlowMotion + Map.Add.ResetSuccess,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark that focus game with my coach for review, improvement log",Journal.Practice.CoachDrills + Map.Add.ForReview,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark this putting drill as a mental breakthrough, coach",Journal.Practice.Putting + Map.Add.Breakthrough,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,Add today’s cue testing as a visualization success.,Journal.Practice.VisualCues + Map.Tag.Visualization,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Tag slow-motion swings as a reset routine, pre-shot prep",Journal.Practice.SlowMotion + Map.Add.ResetSuccess,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,Pin today’s mental checklist as a calm pressure win,Journal.Practice.MentalRoutine + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Tag that range session for review, to review later",Journal.Practice.Range + Map.Add.ForReview,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark alignment practice as a reset success, growth moment",Journal.Practice.Alignment + Map.Add.ResetSuccess,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Add today’s cue testing as a visualization success, growth moment",Journal.Practice.VisualCues + Map.Tag.Visualization,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Add this short-game challenge to my FoCoMap, progress marker",Journal.Practice.ShortGame + Map.Add.General,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Tag that range session for review, progress marker",Journal.Practice.Range + Map.Add.ForReview,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark my breathing practice as a calm focus, confidence drill",Journal.Practice.Breathing + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Add today’s cue testing as a visualization success, coach",Journal.Practice.VisualCues + Map.Tag.Visualization,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Pin that wedge drill as a focus win, to review later",Journal.Practice.Wedge + Map.Add.FocusWin,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark my breathing practice as a calm focus, improvement log",Journal.Practice.Breathing + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Tag that range session for review, coach",Journal.Practice.Range + Map.Add.ForReview,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark my breathing practice as a calm focus, mental boost",Journal.Practice.Breathing + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Pin my tournament simulation as a pressure drill, success",Journal.Practice.Pressure + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Add this bunker practice as recovery training, success",Journal.Practice.RecoveryShots + Map.Tag.Recovery,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Add this short-game challenge to my FoCoMap, growth moment",Journal.Practice.ShortGame + Map.Add.General,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Tag that range session for review, confidence drill",Journal.Practice.Range + Map.Add.ForReview,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Tag slow-motion swings as a reset routine, pre-shot prep",Journal.Practice.SlowMotion + Map.Add.ResetSuccess,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark that focus game with my coach for review, improvement log",Journal.Practice.CoachDrills + Map.Add.ForReview,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark alignment practice as a reset success, growth moment",Journal.Practice.Alignment + Map.Add.ResetSuccess,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Tag that range session for review, mental boost",Journal.Practice.Range + Map.Add.ForReview,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Add this bunker practice as recovery training, progress marker",Journal.Practice.RecoveryShots + Map.Tag.Recovery,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Tag slow-motion swings as a reset routine, coach",Journal.Practice.SlowMotion + Map.Add.ResetSuccess,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Add today’s dispersion tracking as a data insight, growth moment",Journal.Practice.Stats + Map.Add.General,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark that focus game with my coach for review, calm practice",Journal.Practice.CoachDrills + Map.Add.ForReview,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark that focus game with my coach for review, to review later",Journal.Practice.CoachDrills + Map.Add.ForReview,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark alignment practice as a reset success, to review later",Journal.Practice.Alignment + Map.Add.ResetSuccess,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark that focus game with my coach for review, success",Journal.Practice.CoachDrills + Map.Add.ForReview,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Add this short-game challenge to my FoCoMap, to help next round",Journal.Practice.ShortGame + Map.Add.General,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Pin my tournament simulation as a pressure drill, mental boost",Journal.Practice.Pressure + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Pin this skills challenge as a confidence boost, coach",Journal.Practice.SkillsChallenge + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Add today’s dispersion tracking as a data insight, building routine",Journal.Practice.Stats + Map.Add.General,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark this putting drill as a mental breakthrough, calm practice",Journal.Practice.Putting + Map.Add.Breakthrough,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,Pin that wedge drill as a focus win,Journal.Practice.Wedge + Map.Add.FocusWin,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Pin this skills challenge as a confidence boost, to help next round",Journal.Practice.SkillsChallenge + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Mark that focus game with my coach for review, mental boost",Journal.Practice.CoachDrills + Map.Add.ForReview,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Highlight today’s tempo work as mental growth, building routine",Journal.Practice.Range + Map.Add.GrowthLabel,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Pin today’s mental checklist as a calm pressure win, confidence drill",Journal.Practice.MentalRoutine + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Pin today’s mental checklist as a calm pressure win, improvement log",Journal.Practice.MentalRoutine + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Mark alignment practice as a reset success, progress marker",Journal.Practice.Alignment + Map.Add.ResetSuccess,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Tag slow-motion swings as a reset routine, improvement log",Journal.Practice.SlowMotion + Map.Add.ResetSuccess,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Tag slow-motion swings as a reset routine, confidence drill",Journal.Practice.SlowMotion + Map.Add.ResetSuccess,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Pin this skills challenge as a confidence boost, building routine",Journal.Practice.SkillsChallenge + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Tag slow-motion swings as a reset routine, building routine",Journal.Practice.SlowMotion + Map.Add.ResetSuccess,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Add today’s dispersion tracking as a data insight, mental boost",Journal.Practice.Stats + Map.Add.General,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,Add today’s dispersion tracking as a data insight,Journal.Practice.Stats + Map.Add.General,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Add today’s cue testing as a visualization success, pre-shot prep",Journal.Practice.VisualCues + Map.Tag.Visualization,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Add this bunker practice as recovery training, growth moment",Journal.Practice.RecoveryShots + Map.Tag.Recovery,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,Tag that range session for review for tracking,Journal.Practice.Range + Map.Add.ForReview,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Add this bunker practice as recovery training, pre-shot prep",Journal.Practice.RecoveryShots + Map.Tag.Recovery,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Mark alignment practice as a reset success, to review later",Journal.Practice.Alignment + Map.Add.ResetSuccess,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,Add this short-game challenge to my FoCoMap.,Journal.Practice.ShortGame + Map.Add.General,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark that focus game with my coach for review, building routine",Journal.Practice.CoachDrills + Map.Add.ForReview,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,Add this short-game challenge to my FoCoMap for tracking,Journal.Practice.ShortGame + Map.Add.General,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Tag that range session for review, coach",Journal.Practice.Range + Map.Add.ForReview,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Pin that wedge drill as a focus win, calm practice",Journal.Practice.Wedge + Map.Add.FocusWin,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Pin this skills challenge as a confidence boost, to review later",Journal.Practice.SkillsChallenge + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,Add this bunker practice as recovery training for tracking,Journal.Practice.RecoveryShots + Map.Tag.Recovery,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Pin this skills challenge as a confidence boost, to help next round",Journal.Practice.SkillsChallenge + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,Highlight today’s tempo work as mental growth.,Journal.Practice.Range + Map.Add.GrowthLabel,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark that focus game with my coach for review, growth moment",Journal.Practice.CoachDrills + Map.Add.ForReview,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,Mark my breathing practice as a calm focus.,Journal.Practice.Breathing + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,Add today’s dispersion tracking as a data insight.,Journal.Practice.Stats + Map.Add.General,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark this putting drill as a mental breakthrough, building routine",Journal.Practice.Putting + Map.Add.Breakthrough,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Pin today’s mental checklist as a calm pressure win, improvement log",Journal.Practice.MentalRoutine + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,Mark alignment practice as a reset success.,Journal.Practice.Alignment + Map.Add.ResetSuccess,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Add today’s dispersion tracking as a data insight, progress marker",Journal.Practice.Stats + Map.Add.General,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark that focus game with my coach for review, to help next round",Journal.Practice.CoachDrills + Map.Add.ForReview,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,Pin my tournament simulation as a pressure drill,Journal.Practice.Pressure + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Highlight today’s tempo work as mental growth, coach",Journal.Practice.Range + Map.Add.GrowthLabel,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Pin that wedge drill as a focus win, confidence drill",Journal.Practice.Wedge + Map.Add.FocusWin,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,Add this short-game challenge to my FoCoMap for tracking,Journal.Practice.ShortGame + Map.Add.General,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Tag slow-motion swings as a reset routine, calm practice",Journal.Practice.SlowMotion + Map.Add.ResetSuccess,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Pin my tournament simulation as a pressure drill, to help next round",Journal.Practice.Pressure + Map.Tag.CalmPressure,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Highlight today’s tempo work as mental growth, to help next round",Journal.Practice.Range + Map.Add.GrowthLabel,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark that focus game with my coach for review, mental boost",Journal.Practice.CoachDrills + Map.Add.ForReview,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,Tag that range session for review for tracking,Journal.Practice.Range + Map.Add.ForReview,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,Add this bunker practice as recovery training.,Journal.Practice.RecoveryShots + Map.Tag.Recovery,,Practice + tag
Section 10: Practice-to-FoCoMap Voice Commands,"Mark that focus game with my coach for review, building routine",Journal.Practice.CoachDrills + Map.Add.ForReview,,Practice + map
Section 10: Practice-to-FoCoMap Voice Commands,"Mark that focus game with my coach for review, coach",Journal.Practice.CoachDrills + Map.Add.ForReview,,Practice + map
