User Phrase (Incomplete);System Prompt (Clarification);User Response (Correction);Final Log Intent
I think it was a 6 iron.;Could you clarify which hole that happened on?;Yes, it was the first shot.;ShotLog.Technical.Club.6Iron
Hit a great shot.;Was that your first shot on the hole?;I used a 6 iron.;ShotLog.Mental.Mindset.Distracted
I hit a draw into the green.;Do you remember what triggered the miss?;Yes, include it in ShotMap.;Log.Score.Bogey
I hit a draw into the green.;Could you clarify which hole that happened on?;I was distracted.;ShotLog.Technical.Lie.OB
Lost my ball near the trees.;Was that a tee shot or approach?;That was off the tee.;Log.Score.Bogey
Hit a great shot.;Do you remember the yardage?;I rushed my routine.;ShotLog.Mental.Mindset.Distracted
Just missed the putt.;Do you want to log that as a penalty?;I was distracted.;ShotLog.Technical.Lie.Bunker
Just missed the putt.;Do you want to log that as a penalty?;It was on hole 5.;ShotLog.Technical.Yardage.150
Just missed the putt.;Do you remember the yardage?;Yes, it was the first shot.;Log.Score.Bogey
Hit a great shot.;Would you like to track this in ShotMap?;Yes, count it as a penalty.;ShotMap.Track.Enabled
I think it was a 6 iron.;Could you clarify which hole that happened on?;Yes, count it as a penalty.;ShotLog.Technical.Lie.Bunker
Lost my ball near the trees.;What was your mindset at the time?;It was around 150 yards.;ShotLog.Technical.MissCause.Routine
Hit a great shot.;What was your mindset at the time?;It was on hole 5.;Log.Penalty
I hit a draw into the green.;What club did you use for that shot?;I rushed my routine.;Log.Score.Bogey
Just missed the putt.;What was your mindset at the time?;Lie was clean.;ShotLog.Technical.Yardage.150
Made par.;What club did you use for that shot?;That was off the tee.;Log.Penalty
I bogeyed the hole.;What club did you use for that shot?;It was around 150 yards.;ShotLog.Mental.Mindset.Distracted
I think it was a 6 iron.;Was that a tee shot or approach?;Yes, it was the first shot.;ShotMap.Track.Enabled
Just missed the putt.;Was that a tee shot or approach?;I used a 6 iron.;ShotLog.Technical.MissCause.Routine
Hit a great shot.;Was the lie clean or difficult?;It was on hole 5.;Log.Hole.5
My drive went OB.;What was your mindset at the time?;It was around 150 yards.;Log.Score.Bogey
I hit a draw into the green.;Would you like to track this in ShotMap?;I used a 6 iron.;ShotLog.Technical.Lie.OB
The wind affected that one.;What club did you use for that shot?;I used a 6 iron.;Log.Hole.5
I hit a draw into the green.;Could you clarify which hole that happened on?;Lie was clean.;ShotLog.Mental.Mindset.Distracted
Landed in the bunker.;Was that your first shot on the hole?;It was on hole 5.;ShotLog.Technical.Yardage.150
Lost my ball near the trees.;Could you clarify which hole that happened on?;That was off the tee.;ShotLog.Technical.MissCause.Routine
The wind affected that one.;Do you remember what triggered the miss?;I rushed my routine.;ShotLog.Technical.Club.6Iron
I hit a draw into the green.;Would you like to track this in ShotMap?;Yes, include it in ShotMap.;ShotLog.Technical.Club.6Iron
My drive went OB.;Was the lie clean or difficult?;Yes, it was the first shot.;ShotLog.Technical.Yardage.150
The wind affected that one.;Do you remember the yardage?;Yes, it was the first shot.;Log.Score.Bogey
Just missed the putt.;Do you remember the yardage?;I was distracted.;Log.Hole.5
Hit a great shot.;Do you want to log that as a penalty?;It was around 150 yards.;ShotMap.Track.Enabled
I think it was a 6 iron.;Do you remember what triggered the miss?;Yes, it was the first shot.;Log.Score.Bogey
Just missed the putt.;Would you like to track this in ShotMap?;Yes, count it as a penalty.;Log.Penalty
Landed in the bunker.;Would you like to track this in ShotMap?;I used a 6 iron.;Log.Hole.5
I hit a draw into the green.;Do you remember the yardage?;Lie was clean.;Log.Hole.5
Made par.;Do you remember what triggered the miss?;It was around 150 yards.;Log.Score.Bogey
Made par.;Do you remember the yardage?;Lie was clean.;Log.Hole.5
Landed in the bunker.;Could you clarify which hole that happened on?;That was off the tee.;Log.Penalty
My drive went OB.;Do you remember the yardage?;I used a 6 iron.;Log.Penalty
I hit a draw into the green.;Do you remember the yardage?;It was on hole 5.;ShotLog.Mental.Mindset.Distracted
I hit a draw into the green.;What was your mindset at the time?;Yes, it was the first shot.;Log.Hole.5
I hit a draw into the green.;Was that your first shot on the hole?;I rushed my routine.;ShotLog.Technical.MissCause.Routine
Made par.;Could you clarify which hole that happened on?;I rushed my routine.;ShotLog.Technical.MissCause.Routine
The wind affected that one.;Would you like to track this in ShotMap?;It was around 150 yards.;ShotLog.Technical.Lie.OB
I hit a draw into the green.;Was the lie clean or difficult?;Yes, include it in ShotMap.;Log.Penalty
My drive went OB.;Would you like to track this in ShotMap?;Yes, include it in ShotMap.;ShotLog.Technical.Lie.Bunker
Lost my ball near the trees.;What was your mindset at the time?;It was on hole 5.;Log.Penalty
Landed in the bunker.;Do you remember the yardage?;Yes, it was the first shot.;Log.Hole.5
I think it was a 6 iron.;Do you remember the yardage?;Lie was clean.;ShotLog.Technical.MissCause.Routine
The wind affected that one.;What club did you use for that shot?;That was off the tee.;Log.Penalty
Landed in the bunker.;Was that your first shot on the hole?;It was on hole 5.;Log.Score.Bogey
I think it was a 6 iron.;Do you remember the yardage?;I used a 6 iron.;ShotLog.Technical.Club.6Iron
Hit a great shot.;What club did you use for that shot?;Yes, include it in ShotMap.;ShotLog.Technical.Lie.Bunker
My drive went OB.;Do you remember what triggered the miss?;Lie was clean.;ShotLog.Technical.Lie.Bunker
Lost my ball near the trees.;What club did you use for that shot?;Lie was clean.;ShotLog.Mental.Mindset.Distracted
The wind affected that one.;Would you like to track this in ShotMap?;I used a 6 iron.;ShotLog.Technical.Yardage.150
Hit a great shot.;Was that your first shot on the hole?;Yes, count it as a penalty.;Log.Penalty
I bogeyed the hole.;Was that your first shot on the hole?;Yes, count it as a penalty.;Log.Hole.5
Just missed the putt.;Was the lie clean or difficult?;It was around 150 yards.;Log.Hole.5
I hit a draw into the green.;What was your mindset at the time?;I rushed my routine.;ShotMap.Track.Enabled
Lost my ball near the trees.;Was that your first shot on the hole?;I rushed my routine.;ShotLog.Mental.Mindset.Distracted
I bogeyed the hole.;What club did you use for that shot?;It was around 150 yards.;Log.Score.Bogey
Landed in the bunker.;Was the lie clean or difficult?;Yes, count it as a penalty.;Log.Score.Bogey
Made par.;Was the lie clean or difficult?;It was around 150 yards.;Log.Penalty
My drive went OB.;Was that your first shot on the hole?;It was around 150 yards.;ShotLog.Technical.Yardage.150
Landed in the bunker.;Could you clarify which hole that happened on?;It was on hole 5.;Log.Score.Bogey
I think it was a 6 iron.;Was that your first shot on the hole?;That was off the tee.;Log.Penalty
Landed in the bunker.;Was that a tee shot or approach?;I was distracted.;ShotLog.Technical.Lie.OB
Hit a great shot.;What was your mindset at the time?;That was off the tee.;ShotLog.Mental.Mindset.Distracted
My drive went OB.;What club did you use for that shot?;That was off the tee.;ShotLog.Mental.Mindset.Distracted
Hit a great shot.;Would you like to track this in ShotMap?;It was on hole 5.;ShotLog.Technical.Lie.Bunker
I bogeyed the hole.;Was that a tee shot or approach?;I was distracted.;Log.Penalty
I think it was a 6 iron.;Was the lie clean or difficult?;Yes, include it in ShotMap.;ShotMap.Track.Enabled
Just missed the putt.;Would you like to track this in ShotMap?;Lie was clean.;ShotMap.Track.Enabled
Lost my ball near the trees.;Do you remember what triggered the miss?;Yes, it was the first shot.;ShotLog.Technical.Lie.OB
I hit a draw into the green.;Do you remember what triggered the miss?;Yes, it was the first shot.;ShotLog.Mental.Mindset.Distracted
The wind affected that one.;Do you remember what triggered the miss?;It was around 150 yards.;ShotMap.Track.Enabled
I hit a draw into the green.;Was that your first shot on the hole?;That was off the tee.;Log.Hole.5
The wind affected that one.;Do you remember what triggered the miss?;It was on hole 5.;ShotMap.Track.Enabled
I think it was a 6 iron.;Do you want to log that as a penalty?;I used a 6 iron.;Log.Hole.5
Made par.;Do you want to log that as a penalty?;That was off the tee.;ShotLog.Mental.Mindset.Distracted
The wind affected that one.;Was that your first shot on the hole?;It was around 150 yards.;ShotLog.Technical.Yardage.150
My drive went OB.;Would you like to track this in ShotMap?;I used a 6 iron.;ShotLog.Technical.Club.6Iron
My drive went OB.;Do you want to log that as a penalty?;I was distracted.;ShotLog.Technical.Club.6Iron
Lost my ball near the trees.;What was your mindset at the time?;It was on hole 5.;ShotLog.Technical.Lie.Bunker
Lost my ball near the trees.;Would you like to track this in ShotMap?;It was on hole 5.;ShotMap.Track.Enabled
Lost my ball near the trees.;Was the lie clean or difficult?;I used a 6 iron.;ShotLog.Technical.MissCause.Routine
The wind affected that one.;What was your mindset at the time?;Lie was clean.;ShotLog.Mental.Mindset.Distracted
I hit a draw into the green.;Do you want to log that as a penalty?;Yes, count it as a penalty.;ShotLog.Technical.Yardage.150
The wind affected that one.;Do you want to log that as a penalty?;Lie was clean.;ShotMap.Track.Enabled
My drive went OB.;What was your mindset at the time?;Yes, count it as a penalty.;ShotLog.Technical.Lie.OB
My drive went OB.;Was that your first shot on the hole?;Yes, count it as a penalty.;ShotLog.Technical.Lie.OB
I bogeyed the hole.;What was your mindset at the time?;I was distracted.;Log.Score.Bogey
Landed in the bunker.;Was that a tee shot or approach?;Lie was clean.;ShotLog.Technical.Lie.Bunker
Lost my ball near the trees.;Do you remember what triggered the miss?;I rushed my routine.;ShotMap.Track.Enabled
I think it was a 6 iron.;What club did you use for that shot?;I was distracted.;Log.Score.Bogey
I think it was a 6 iron.;Would you like to track this in ShotMap?;Lie was clean.;Log.Hole.5
My drive went OB.;Was that your first shot on the hole?;Lie was clean.;ShotMap.Track.Enabled
I hit a draw into the green.;Was that your first shot on the hole?;I rushed my routine.;Log.Hole.5
I bogeyed the hole.;Was the lie clean or difficult?;Lie was clean.;ShotLog.Technical.Lie.Bunker
My drive went OB.;What club did you use for that shot?;Yes, include it in ShotMap.;Log.Hole.5
Lost my ball near the trees.;Would you like to track this in ShotMap?;I used a 6 iron.;Log.Score.Bogey
Hit a great shot.;Was that your first shot on the hole?;Yes, it was the first shot.;Log.Hole.5
Landed in the bunker.;Was that your first shot on the hole?;Lie was clean.;ShotLog.Technical.Yardage.150
Landed in the bunker.;Was that your first shot on the hole?;Yes, include it in ShotMap.;ShotLog.Technical.Lie.Bunker
I think it was a 6 iron.;Was the lie clean or difficult?;Yes, include it in ShotMap.;Log.Hole.5
My drive went OB.;Could you clarify which hole that happened on?;Yes, it was the first shot.;Log.Penalty
Landed in the bunker.;What was your mindset at the time?;That was off the tee.;Log.Score.Bogey
I hit a draw into the green.;What was your mindset at the time?;Yes, count it as a penalty.;ShotLog.Technical.Lie.Bunker
I bogeyed the hole.;Do you remember what triggered the miss?;Yes, it was the first shot.;ShotMap.Track.Enabled
Landed in the bunker.;What was your mindset at the time?;Lie was clean.;Log.Hole.5
I think it was a 6 iron.;Do you remember the yardage?;It was around 150 yards.;ShotLog.Technical.Lie.OB
Just missed the putt.;Was the lie clean or difficult?;Yes, it was the first shot.;ShotLog.Technical.MissCause.Routine
Landed in the bunker.;Could you clarify which hole that happened on?;It was on hole 5.;Log.Hole.5
I hit a draw into the green.;Was the lie clean or difficult?;I used a 6 iron.;ShotLog.Mental.Mindset.Distracted
Lost my ball near the trees.;Was that a tee shot or approach?;Lie was clean.;ShotLog.Technical.Yardage.150
I hit a draw into the green.;Would you like to track this in ShotMap?;It was on hole 5.;ShotLog.Technical.Yardage.150
My drive went OB.;What was your mindset at the time?;Yes, include it in ShotMap.;ShotLog.Technical.MissCause.Routine
The wind affected that one.;Would you like to track this in ShotMap?;It was on hole 5.;Log.Score.Bogey
Hit a great shot.;Do you remember what triggered the miss?;I was distracted.;ShotLog.Technical.Yardage.150
The wind affected that one.;Do you want to log that as a penalty?;I was distracted.;ShotLog.Technical.Lie.Bunker
Made par.;Do you want to log that as a penalty?;Yes, it was the first shot.;Log.Penalty
I think it was a 6 iron.;Do you want to log that as a penalty?;I was distracted.;ShotLog.Technical.Yardage.150
Lost my ball near the trees.;What was your mindset at the time?;It was on hole 5.;Log.Score.Bogey
Lost my ball near the trees.;Was the lie clean or difficult?;I was distracted.;ShotLog.Technical.Lie.OB
Just missed the putt.;Do you remember the yardage?;It was around 150 yards.;ShotLog.Mental.Mindset.Distracted
Made par.;Would you like to track this in ShotMap?;That was off the tee.;ShotLog.Technical.Lie.Bunker
I hit a draw into the green.;What was your mindset at the time?;Yes, it was the first shot.;Log.Penalty
Just missed the putt.;Would you like to track this in ShotMap?;Lie was clean.;ShotLog.Technical.Club.6Iron
Lost my ball near the trees.;Was the lie clean or difficult?;It was on hole 5.;ShotMap.Track.Enabled
Lost my ball near the trees.;Do you want to log that as a penalty?;It was on hole 5.;ShotLog.Technical.Yardage.150
Just missed the putt.;Could you clarify which hole that happened on?;I was distracted.;Log.Penalty
I think it was a 6 iron.;What club did you use for that shot?;Yes, count it as a penalty.;ShotLog.Technical.Lie.OB
My drive went OB.;Do you want to log that as a penalty?;I rushed my routine.;ShotLog.Technical.Club.6Iron
I bogeyed the hole.;Do you remember the yardage?;Yes, include it in ShotMap.;ShotLog.Technical.Lie.Bunker
I think it was a 6 iron.;Was that a tee shot or approach?;I rushed my routine.;ShotLog.Technical.Lie.OB
I think it was a 6 iron.;Do you want to log that as a penalty?;Yes, include it in ShotMap.;ShotLog.Technical.MissCause.Routine
My drive went OB.;Was the lie clean or difficult?;Yes, count it as a penalty.;ShotLog.Technical.Yardage.150
I hit a draw into the green.;Was that a tee shot or approach?;Yes, include it in ShotMap.;Log.Hole.5
Landed in the bunker.;What was your mindset at the time?;I rushed my routine.;ShotLog.Technical.Lie.OB
I think it was a 6 iron.;Was the lie clean or difficult?;That was off the tee.;ShotLog.Technical.Yardage.150
Landed in the bunker.;Do you remember what triggered the miss?;That was off the tee.;Log.Hole.5
The wind affected that one.;What was your mindset at the time?;It was around 150 yards.;ShotLog.Technical.Lie.Bunker
My drive went OB.;Do you remember the yardage?;I rushed my routine.;ShotLog.Technical.Lie.Bunker
Lost my ball near the trees.;What was your mindset at the time?;It was on hole 5.;ShotLog.Mental.Mindset.Distracted
The wind affected that one.;Could you clarify which hole that happened on?;I was distracted.;ShotLog.Technical.Club.6Iron
Landed in the bunker.;Do you want to log that as a penalty?;Yes, include it in ShotMap.;ShotMap.Track.Enabled
I hit a draw into the green.;Was the lie clean or difficult?;That was off the tee.;ShotLog.Technical.Yardage.150
Lost my ball near the trees.;Was that your first shot on the hole?;Yes, count it as a penalty.;ShotLog.Technical.Yardage.150
I hit a draw into the green.;Was the lie clean or difficult?;Yes, count it as a penalty.;Log.Score.Bogey
My drive went OB.;Was that a tee shot or approach?;It was around 150 yards.;Log.Score.Bogey
Lost my ball near the trees.;Was that your first shot on the hole?;Yes, include it in ShotMap.;ShotLog.Technical.Lie.OB
I bogeyed the hole.;Could you clarify which hole that happened on?;I was distracted.;Log.Hole.5
The wind affected that one.;Was that your first shot on the hole?;I rushed my routine.;ShotLog.Technical.Yardage.150
I bogeyed the hole.;What was your mindset at the time?;Yes, count it as a penalty.;ShotLog.Technical.Lie.OB
I hit a draw into the green.;What was your mindset at the time?;I was distracted.;ShotLog.Technical.Club.6Iron
Lost my ball near the trees.;Was the lie clean or difficult?;It was around 150 yards.;Log.Penalty
Made par.;Was that a tee shot or approach?;That was off the tee.;Log.Penalty
Hit a great shot.;Could you clarify which hole that happened on?;I used a 6 iron.;ShotLog.Technical.Lie.OB
My drive went OB.;Would you like to track this in ShotMap?;That was off the tee.;ShotLog.Technical.Lie.OB
The wind affected that one.;What club did you use for that shot?;I rushed my routine.;ShotMap.Track.Enabled
The wind affected that one.;Do you remember what triggered the miss?;I used a 6 iron.;ShotLog.Technical.MissCause.Routine
The wind affected that one.;What was your mindset at the time?;It was around 150 yards.;Log.Hole.5
Landed in the bunker.;Do you want to log that as a penalty?;That was off the tee.;Log.Score.Bogey
Just missed the putt.;Would you like to track this in ShotMap?;It was on hole 5.;ShotLog.Technical.Club.6Iron
I bogeyed the hole.;Could you clarify which hole that happened on?;I was distracted.;ShotLog.Technical.Lie.OB
Lost my ball near the trees.;Was the lie clean or difficult?;Lie was clean.;ShotMap.Track.Enabled
The wind affected that one.;Do you want to log that as a penalty?;Lie was clean.;ShotLog.Mental.Mindset.Distracted
My drive went OB.;Was that your first shot on the hole?;Yes, count it as a penalty.;ShotLog.Technical.Lie.OB
I bogeyed the hole.;Do you remember the yardage?;Lie was clean.;ShotLog.Technical.Club.6Iron
Made par.;Would you like to track this in ShotMap?;It was on hole 5.;ShotLog.Technical.Club.6Iron
Made par.;Was that a tee shot or approach?;Yes, include it in ShotMap.;ShotLog.Mental.Mindset.Distracted
My drive went OB.;Do you remember what triggered the miss?;Yes, it was the first shot.;ShotLog.Technical.MissCause.Routine
Hit a great shot.;Do you want to log that as a penalty?;Yes, include it in ShotMap.;ShotLog.Technical.Club.6Iron
My drive went OB.;Would you like to track this in ShotMap?;Yes, count it as a penalty.;ShotMap.Track.Enabled
Made par.;Do you want to log that as a penalty?;Yes, it was the first shot.;Log.Penalty
Hit a great shot.;What club did you use for that shot?;Yes, it was the first shot.;ShotLog.Mental.Mindset.Distracted
Lost my ball near the trees.;Do you remember the yardage?;I used a 6 iron.;ShotLog.Technical.Club.6Iron
My drive went OB.;Do you want to log that as a penalty?;It was on hole 5.;ShotLog.Technical.Lie.OB
My drive went OB.;Was that your first shot on the hole?;I rushed my routine.;ShotLog.Mental.Mindset.Distracted
My drive went OB.;Was that your first shot on the hole?;I was distracted.;ShotLog.Technical.Yardage.150
Hit a great shot.;What club did you use for that shot?;I was distracted.;Log.Hole.5
I think it was a 6 iron.;Was that your first shot on the hole?;It was on hole 5.;ShotLog.Technical.MissCause.Routine
My drive went OB.;Could you clarify which hole that happened on?;Lie was clean.;ShotLog.Technical.Yardage.150
I hit a draw into the green.;Do you remember the yardage?;Yes, include it in ShotMap.;ShotMap.Track.Enabled
The wind affected that one.;Was that a tee shot or approach?;It was around 150 yards.;ShotMap.Track.Enabled
My drive went OB.;Was the lie clean or difficult?;It was around 150 yards.;Log.Penalty
Hit a great shot.;What was your mindset at the time?;It was around 150 yards.;ShotLog.Technical.Yardage.150
Lost my ball near the trees.;Do you want to log that as a penalty?;It was on hole 5.;ShotLog.Mental.Mindset.Distracted
The wind affected that one.;Was the lie clean or difficult?;I rushed my routine.;ShotLog.Mental.Mindset.Distracted
Made par.;Do you remember the yardage?;I was distracted.;ShotLog.Technical.MissCause.Routine
The wind affected that one.;Do you remember what triggered the miss?;It was on hole 5.;ShotLog.Technical.Yardage.150
Lost my ball near the trees.;What club did you use for that shot?;Yes, it was the first shot.;ShotLog.Technical.Lie.OB
I hit a draw into the green.;Do you remember the yardage?;Yes, include it in ShotMap.;Log.Penalty
Landed in the bunker.;Do you want to log that as a penalty?;Lie was clean.;Log.Score.Bogey
Landed in the bunker.;What was your mindset at the time?;Yes, count it as a penalty.;ShotLog.Technical.Club.6Iron
Hit a great shot.;Would you like to track this in ShotMap?;It was around 150 yards.;ShotLog.Technical.Club.6Iron
I think it was a 6 iron.;Would you like to track this in ShotMap?;I used a 6 iron.;Log.Penalty
Just missed the putt.;Could you clarify which hole that happened on?;I was distracted.;ShotMap.Track.Enabled
Landed in the bunker.;Could you clarify which hole that happened on?;I was distracted.;ShotLog.Mental.Mindset.Distracted
I think it was a 6 iron.;Do you want to log that as a penalty?;Yes, include it in ShotMap.;ShotMap.Track.Enabled
Just missed the putt.;Do you want to log that as a penalty?;Yes, count it as a penalty.;ShotLog.Technical.Lie.OB
Lost my ball near the trees.;Was that your first shot on the hole?;Yes, count it as a penalty.;Log.Score.Bogey
Made par.;Was that a tee shot or approach?;I used a 6 iron.;ShotLog.Technical.Lie.OB
Lost my ball near the trees.;Was that a tee shot or approach?;Lie was clean.;ShotMap.Track.Enabled
Landed in the bunker.;Do you want to log that as a penalty?;I used a 6 iron.;ShotMap.Track.Enabled
Made par.;What club did you use for that shot?;Yes, it was the first shot.;Log.Score.Bogey
My drive went OB.;Do you remember what triggered the miss?;Yes, count it as a penalty.;ShotLog.Technical.Yardage.150
Made par.;What club did you use for that shot?;I rushed my routine.;ShotLog.Technical.Lie.Bunker
I think it was a 6 iron.;Was that your first shot on the hole?;That was off the tee.;ShotLog.Mental.Mindset.Distracted
Lost my ball near the trees.;Would you like to track this in ShotMap?;Lie was clean.;ShotLog.Technical.Lie.OB
My drive went OB.;Could you clarify which hole that happened on?;I used a 6 iron.;ShotLog.Mental.Mindset.Distracted
Lost my ball near the trees.;Do you want to log that as a penalty?;Yes, include it in ShotMap.;Log.Score.Bogey
My drive went OB.;Could you clarify which hole that happened on?;Yes, it was the first shot.;ShotLog.Mental.Mindset.Distracted
Just missed the putt.;Could you clarify which hole that happened on?;I used a 6 iron.;Log.Hole.5
Hit a great shot.;What was your mindset at the time?;I was distracted.;ShotLog.Technical.Yardage.150
My drive went OB.;What was your mindset at the time?;I used a 6 iron.;ShotLog.Mental.Mindset.Distracted
I bogeyed the hole.;Do you remember the yardage?;I was distracted.;ShotLog.Technical.Lie.Bunker
Lost my ball near the trees.;Was the lie clean or difficult?;I used a 6 iron.;Log.Penalty
Landed in the bunker.;Do you want to log that as a penalty?;Yes, include it in ShotMap.;Log.Hole.5
I think it was a 6 iron.;Was that your first shot on the hole?;Lie was clean.;ShotLog.Technical.Lie.OB
Made par.;Was that your first shot on the hole?;Yes, it was the first shot.;ShotLog.Mental.Mindset.Distracted
Hit a great shot.;Do you remember what triggered the miss?;It was around 150 yards.;ShotLog.Technical.Lie.Bunker
I bogeyed the hole.;Was that your first shot on the hole?;Yes, include it in ShotMap.;ShotLog.Technical.Lie.OB
The wind affected that one.;Would you like to track this in ShotMap?;It was on hole 5.;Log.Hole.5
I hit a draw into the green.;What club did you use for that shot?;Lie was clean.;ShotLog.Mental.Mindset.Distracted
Just missed the putt.;Could you clarify which hole that happened on?;Yes, it was the first shot.;ShotMap.Track.Enabled
Hit a great shot.;Do you remember what triggered the miss?;It was around 150 yards.;Log.Hole.5
Made par.;Was that a tee shot or approach?;Yes, count it as a penalty.;Log.Hole.5
The wind affected that one.;Do you remember what triggered the miss?;Yes, it was the first shot.;ShotLog.Technical.Lie.OB
Lost my ball near the trees.;Do you remember what triggered the miss?;Lie was clean.;Log.Hole.5
Landed in the bunker.;Was the lie clean or difficult?;I rushed my routine.;ShotLog.Technical.Club.6Iron
The wind affected that one.;Do you remember what triggered the miss?;It was around 150 yards.;ShotMap.Track.Enabled
Made par.;Was that a tee shot or approach?;I used a 6 iron.;ShotLog.Technical.Club.6Iron
My drive went OB.;Was that your first shot on the hole?;I was distracted.;Log.Hole.5
Landed in the bunker.;What club did you use for that shot?;That was off the tee.;ShotLog.Technical.Lie.Bunker
I think it was a 6 iron.;Would you like to track this in ShotMap?;It was on hole 5.;ShotLog.Technical.Lie.Bunker
Made par.;Was the lie clean or difficult?;Lie was clean.;ShotLog.Mental.Mindset.Distracted
I think it was a 6 iron.;Was the lie clean or difficult?;Lie was clean.;ShotLog.Technical.MissCause.Routine
I hit a draw into the green.;Do you remember the yardage?;Yes, include it in ShotMap.;Log.Hole.5
I think it was a 6 iron.;What was your mindset at the time?;That was off the tee.;ShotLog.Technical.Yardage.150
I think it was a 6 iron.;What club did you use for that shot?;Yes, count it as a penalty.;ShotLog.Mental.Mindset.Distracted
My drive went OB.;What club did you use for that shot?;Lie was clean.;ShotMap.Track.Enabled
Just missed the putt.;Do you remember the yardage?;I was distracted.;ShotLog.Technical.Lie.OB
My drive went OB.;Would you like to track this in ShotMap?;Yes, it was the first shot.;ShotLog.Technical.Lie.Bunker
I think it was a 6 iron.;Do you want to log that as a penalty?;Yes, it was the first shot.;ShotLog.Technical.MissCause.Routine
I bogeyed the hole.;What was your mindset at the time?;It was on hole 5.;ShotLog.Technical.MissCause.Routine
I think it was a 6 iron.;Was that your first shot on the hole?;It was around 150 yards.;Log.Penalty
Hit a great shot.;Could you clarify which hole that happened on?;That was off the tee.;ShotLog.Technical.MissCause.Routine
Made par.;Could you clarify which hole that happened on?;It was around 150 yards.;Log.Hole.5
I think it was a 6 iron.;Was that a tee shot or approach?;I used a 6 iron.;ShotLog.Technical.Club.6Iron
I think it was a 6 iron.;Do you remember what triggered the miss?;Yes, it was the first shot.;ShotLog.Technical.Lie.Bunker
I bogeyed the hole.;Was that a tee shot or approach?;Yes, include it in ShotMap.;ShotLog.Technical.MissCause.Routine
Made par.;What club did you use for that shot?;It was on hole 5.;ShotLog.Mental.Mindset.Distracted
The wind affected that one.;Do you remember what triggered the miss?;Yes, count it as a penalty.;ShotLog.Technical.Yardage.150
Made par.;What club did you use for that shot?;I rushed my routine.;ShotLog.Mental.Mindset.Distracted
Landed in the bunker.;What club did you use for that shot?;Yes, it was the first shot.;Log.Penalty
I hit a draw into the green.;Do you want to log that as a penalty?;I used a 6 iron.;Log.Penalty
I hit a draw into the green.;Was the lie clean or difficult?;I used a 6 iron.;Log.Score.Bogey
My drive went OB.;Do you want to log that as a penalty?;It was around 150 yards.;ShotLog.Technical.MissCause.Routine
My drive went OB.;Would you like to track this in ShotMap?;I was distracted.;ShotLog.Technical.Lie.Bunker
Just missed the putt.;Was that a tee shot or approach?;It was around 150 yards.;Log.Hole.5
