Phrase,Intent,Tags,Notes
"Driver shot from 40 feet, from a bad lie, landed missed right.",ShotLog.Technical,"Club:driver,Distance:40 feet,Condition:from a bad lie,Shape:draw,Outcome:missed right,Hole:hole 3",Technical shot voice log for NLP training
"Played a draw with my 6-iron from 240 yards, ended up on the fairway.",ShotLog.Technical,"Club:6-iron,Distance:240 yards,Condition:into the wind,Shape:draw,Outcome:on the fairway,Hole:hole 2",Technical shot voice log for NLP training
"Hit a 6-iron from 270 yards, shot a draw.",ShotLog.Technical,"Club:6-iron,Distance:270 yards,Condition:from a bad lie,Shape:draw,Outcome:missed long,Hole:hole 16",Technical shot voice log for NLP training
"Used my 3-wood on hole 10, 65 feet, dry fairway.",ShotLog.Technical,"Club:3-wood,Distance:65 feet,Condition:dry fairway,Shape:fade,Outcome:in the rough,Hole:hole 10",Technical shot voice log for NLP training
"Used my 5-iron on hole 16, 60 yards, .",ShotLog.Technical,"Club:5-iron,Distance:60 yards,Condition:None,Shape:slice,Outcome:missed right,Hole:hole 16",Technical shot voice log for NLP training
"Used my hybrid on hole 10, 200 yards, off a downhill slope.",ShotLog.Technical,"Club:hybrid,Distance:200 yards,Condition:off a downhill slope,Shape:pull,Outcome:rolled off the back,Hole:hole 10",Technical shot voice log for NLP training
"Played a draw with my 3-wood from 20 feet, ended up hit a tree.",ShotLog.Technical,"Club:3-wood,Distance:20 feet,Condition:dry fairway,Shape:draw,Outcome:hit a tree,Hole:hole 18",Technical shot voice log for NLP training
"Putting for 60 feet, missed stayed on the fringe.",ShotLog.Technical,"Club:5-iron,Distance:60 feet,Condition:from the rough,Shape:straight,Outcome:stayed on the fringe,Hole:hole 6",Technical shot voice log for NLP training
"Took a putter from 35 feet from a bad lie, result was in the bunker.",ShotLog.Technical,"Club:putter,Distance:35 feet,Condition:from a bad lie,Shape:push,Outcome:in the bunker,Hole:hole 8",Technical shot voice log for NLP training
Hit a 5-iron from 70 feet.,ShotLog.Technical,"Club:5-iron,Distance:70 feet,Condition:downhill,Shape:draw,Outcome:stayed on the fringe,Hole:hole 8",Technical shot voice log for NLP training
"5-wood shot from 60 feet, with a headwind, landed missed long.",ShotLog.Technical,"Club:5-wood,Distance:60 feet,Condition:with a headwind,Shape:pull,Outcome:missed long,Hole:hole 4",Technical shot voice log for NLP training
"7-iron shot from 5 feet, downhill, landed missed left.",ShotLog.Technical,"Club:7-iron,Distance:5 feet,Condition:downhill,Shape:hook,Outcome:missed left,Hole:hole 2",Technical shot voice log for NLP training
"Played a with my driver from 45 feet, ended up on the fairway.",ShotLog.Technical,"Club:driver,Distance:45 feet,Condition:off the tee,Shape:None,Outcome:on the fairway,Hole:hole 14",Technical shot voice log for NLP training
Pushed a driver into the in the rough.,ShotLog.Technical,"Club:driver,Distance:170 yards,Condition:with a headwind,Shape:draw,Outcome:in the rough,Hole:hole 12",Technical shot voice log for NLP training
"Putting for 85 feet, missed on the fairway.",ShotLog.Technical,"Club:hybrid,Distance:85 feet,Condition:dry fairway,Shape:slice,Outcome:on the fairway,Hole:hole 9",Technical shot voice log for NLP training
"Used my 9-iron on hole 9, 100 feet, with a headwind.",ShotLog.Technical,"Club:9-iron,Distance:100 feet,Condition:with a headwind,Shape:hook,Outcome:missed left,Hole:hole 9",Technical shot voice log for NLP training
"Took a 6-iron from 15 feet uphill, result was landed on the green.",ShotLog.Technical,"Club:6-iron,Distance:15 feet,Condition:uphill,Shape:straight,Outcome:landed on the green,Hole:hole 1",Technical shot voice log for NLP training
"2-iron shot from 100 yards, downhill, landed stayed on the fringe.",ShotLog.Technical,"Club:2-iron,Distance:100 yards,Condition:downhill,Shape:slice,Outcome:stayed on the fringe,Hole:hole 8",Technical shot voice log for NLP training
Pushed a 8-iron into the missed left.,ShotLog.Technical,"Club:8-iron,Distance:50 feet,Condition:into the wind,Shape:fade,Outcome:missed left,Hole:hole 18",Technical shot voice log for NLP training
"Played a fade with my driver from 65 feet, ended up stayed on the fringe.",ShotLog.Technical,"Club:driver,Distance:65 feet,Condition:uphill,Shape:fade,Outcome:stayed on the fringe,Hole:hole 13",Technical shot voice log for NLP training
Pushed a sand wedge into the hit a tree.,ShotLog.Technical,"Club:sand wedge,Distance:20 feet,Condition:off a downhill slope,Shape:draw,Outcome:hit a tree,Hole:hole 4",Technical shot voice log for NLP training
"Putting for 150 yards, missed in the rough.",ShotLog.Technical,"Club:hybrid,Distance:150 yards,Condition:dry fairway,Shape:push,Outcome:in the rough,Hole:hole 8",Technical shot voice log for NLP training
"Played a push with my putter from 80 yards, ended up stayed on the fringe.",ShotLog.Technical,"Club:putter,Distance:80 yards,Condition:downhill,Shape:push,Outcome:stayed on the fringe,Hole:hole 2",Technical shot voice log for NLP training
"Played a pull with my 5-wood from 250 yards, ended up missed right.",ShotLog.Technical,"Club:5-wood,Distance:250 yards,Condition:with a tailwind,Shape:pull,Outcome:missed right,Hole:hole 14",Technical shot voice log for NLP training
Hit a 2-iron from 160 yards.,ShotLog.Technical,"Club:2-iron,Distance:160 yards,Condition:uphill,Shape:slice,Outcome:rolled off the back,Hole:hole 15",Technical shot voice log for NLP training
Hit a 8-iron from 180 yards into the wind.,ShotLog.Technical,"Club:8-iron,Distance:180 yards,Condition:into the wind,Shape:hook,Outcome:rolled off the back,Hole:hole 5",Technical shot voice log for NLP training
"Hybrid shot from 5 feet, into the wind, landed .",ShotLog.Technical,"Club:hybrid,Distance:5 feet,Condition:into the wind,Shape:fade,Outcome:None,Hole:hole 14",Technical shot voice log for NLP training
"Played a push with my 9-iron from 70 feet, ended up in the rough.",ShotLog.Technical,"Club:9-iron,Distance:70 feet,Condition:uphill,Shape:push,Outcome:in the rough,Hole:hole 3",Technical shot voice log for NLP training
"Hit a lob wedge from 250 yards, shot a fade.",ShotLog.Technical,"Club:lob wedge,Distance:250 yards,Condition:with a tailwind,Shape:fade,Outcome:in the water,Hole:hole 16",Technical shot voice log for NLP training
"Played a pull with my 4-iron from 40 feet, ended up missed short.",ShotLog.Technical,"Club:4-iron,Distance:40 feet,Condition:from the rough,Shape:pull,Outcome:missed short,Hole:hole 16",Technical shot voice log for NLP training
Pushed a 5-iron into the missed right.,ShotLog.Technical,"Club:5-iron,Distance:120 yards,Condition:tight lie,Shape:draw,Outcome:missed right,Hole:hole 13",Technical shot voice log for NLP training
"Hit a 6-iron from 25 feet into the wind, and it missed right.",ShotLog.Technical,"Club:6-iron,Distance:25 feet,Condition:into the wind,Shape:fade,Outcome:missed right,Hole:hole 4",Technical shot voice log for NLP training
Pushed a 8-iron into the missed right.,ShotLog.Technical,"Club:8-iron,Distance:100 yards,Condition:dry fairway,Shape:slice,Outcome:missed right,Hole:hole 2",Technical shot voice log for NLP training
"Hit a driver from 70 yards, shot a draw.",ShotLog.Technical,"Club:driver,Distance:70 yards,Condition:wet fairway,Shape:draw,Outcome:on the fairway,Hole:hole 1",Technical shot voice log for NLP training
"Lob wedge shot from 40 feet, , landed landed on the green.",ShotLog.Technical,"Club:lob wedge,Distance:40 feet,Condition:None,Shape:fade,Outcome:landed on the green,Hole:hole 5",Technical shot voice log for NLP training
"Hit a 9-iron from 200 yards, shot a draw.",ShotLog.Technical,"Club:9-iron,Distance:200 yards,Condition:into the wind,Shape:draw,Outcome:missed short,Hole:hole 11",Technical shot voice log for NLP training
Hit a 8-iron from 240 yards off the tee.,ShotLog.Technical,"Club:8-iron,Distance:240 yards,Condition:off the tee,Shape:draw,Outcome:landed on the green,Hole:hole 15",Technical shot voice log for NLP training
"Putting for 90 yards, missed landed on the green.",ShotLog.Technical,"Club:sand wedge,Distance:90 yards,Condition:wet fairway,Shape:draw,Outcome:landed on the green,Hole:hole 14",Technical shot voice log for NLP training
"Hit a 4-iron from 80 feet from the rough, and it stayed on the fringe.",ShotLog.Technical,"Club:4-iron,Distance:80 feet,Condition:from the rough,Shape:fade,Outcome:stayed on the fringe,Hole:hole 14",Technical shot voice log for NLP training
"Putting for 80 feet, missed landed on the green.",ShotLog.Technical,"Club:4-iron,Distance:80 feet,Condition:from the rough,Shape:straight,Outcome:landed on the green,Hole:hole 1",Technical shot voice log for NLP training
Pushed a 6-iron into the rolled off the back.,ShotLog.Technical,"Club:6-iron,Distance:150 yards,Condition:tight lie,Shape:hook,Outcome:rolled off the back,Hole:hole 4",Technical shot voice log for NLP training
Hit a 5-iron from 65 feet from the rough.,ShotLog.Technical,"Club:5-iron,Distance:65 feet,Condition:from the rough,Shape:fade,Outcome:hit a tree,Hole:hole 13",Technical shot voice log for NLP training
"Hit a pitching wedge from 100 feet, shot a straight.",ShotLog.Technical,"Club:pitching wedge,Distance:100 feet,Condition:downhill,Shape:straight,Outcome:in the water,Hole:hole 17",Technical shot voice log for NLP training
"Hit a 6-iron from 95 feet from the rough, and it missed right.",ShotLog.Technical,"Club:6-iron,Distance:95 feet,Condition:from the rough,Shape:fade,Outcome:missed right,Hole:hole 3",Technical shot voice log for NLP training
"Took a 2-iron from 240 yards from a bad lie, result was hit a tree.",ShotLog.Technical,"Club:2-iron,Distance:240 yards,Condition:from a bad lie,Shape:None,Outcome:hit a tree,Hole:hole 8",Technical shot voice log for NLP training
Pushed a 9-iron into the missed long.,ShotLog.Technical,"Club:9-iron,Distance:280 yards,Condition:None,Shape:draw,Outcome:missed long,Hole:hole 16",Technical shot voice log for NLP training
"Used my hybrid on hole 18, 140 yards, from the bunker.",ShotLog.Technical,"Club:hybrid,Distance:140 yards,Condition:from the bunker,Shape:fade,Outcome:rolled off the back,Hole:hole 18",Technical shot voice log for NLP training
"Hit a 4-iron from 140 yards, shot a push.",ShotLog.Technical,"Club:4-iron,Distance:140 yards,Condition:off the tee,Shape:push,Outcome:stayed on the fringe,Hole:hole 8",Technical shot voice log for NLP training
"4-iron shot from 270 yards, from the bunker, landed .",ShotLog.Technical,"Club:4-iron,Distance:270 yards,Condition:from the bunker,Shape:push,Outcome:None,Hole:hole 13",Technical shot voice log for NLP training
"Used my 5-wood on hole 10, 250 yards, wet fairway.",ShotLog.Technical,"Club:5-wood,Distance:250 yards,Condition:wet fairway,Shape:draw,Outcome:in the bunker,Hole:hole 10",Technical shot voice log for NLP training
"Putting for 130 yards, missed hit a tree.",ShotLog.Technical,"Club:5-wood,Distance:130 yards,Condition:None,Shape:draw,Outcome:hit a tree,Hole:hole 12",Technical shot voice log for NLP training
"5-iron shot from 50 yards, dry fairway, landed in the rough.",ShotLog.Technical,"Club:5-iron,Distance:50 yards,Condition:dry fairway,Shape:None,Outcome:in the rough,Hole:hole 4",Technical shot voice log for NLP training
Hit a 2-iron from 150 yards off a downhill slope.,ShotLog.Technical,"Club:2-iron,Distance:150 yards,Condition:off a downhill slope,Shape:straight,Outcome:None,Hole:hole 3",Technical shot voice log for NLP training
Pushed a 6-iron into the rolled off the back.,ShotLog.Technical,"Club:6-iron,Distance:100 feet,Condition:crosswind from the left,Shape:None,Outcome:rolled off the back,Hole:hole 8",Technical shot voice log for NLP training
Hit a pitching wedge from 290 yards tight lie.,ShotLog.Technical,"Club:pitching wedge,Distance:290 yards,Condition:tight lie,Shape:push,Outcome:in the rough,Hole:hole 3",Technical shot voice log for NLP training
"Hit a hybrid from 140 yards downhill, and it missed right.",ShotLog.Technical,"Club:hybrid,Distance:140 yards,Condition:downhill,Shape:hook,Outcome:missed right,Hole:hole 17",Technical shot voice log for NLP training
"Hit a putter from 35 feet , and it missed right.",ShotLog.Technical,"Club:putter,Distance:35 feet,Condition:None,Shape:push,Outcome:missed right,Hole:hole 10",Technical shot voice log for NLP training
Hit a 5-iron from 210 yards.,ShotLog.Technical,"Club:5-iron,Distance:210 yards,Condition:downhill,Shape:None,Outcome:missed right,Hole:hole 15",Technical shot voice log for NLP training
"Used my pitching wedge on hole 13, 240 yards, off a downhill slope.",ShotLog.Technical,"Club:pitching wedge,Distance:240 yards,Condition:off a downhill slope,Shape:hook,Outcome:missed long,Hole:hole 13",Technical shot voice log for NLP training
"6-iron shot from 80 feet, into the wind, landed hit a tree.",ShotLog.Technical,"Club:6-iron,Distance:80 feet,Condition:into the wind,Shape:push,Outcome:hit a tree,Hole:hole 7",Technical shot voice log for NLP training
"Putting for 65 feet, missed missed right.",ShotLog.Technical,"Club:4-iron,Distance:65 feet,Condition:with a tailwind,Shape:straight,Outcome:missed right,Hole:hole 15",Technical shot voice log for NLP training
"Putting for 200 yards, missed hit a tree.",ShotLog.Technical,"Club:5-iron,Distance:200 yards,Condition:uphill,Shape:slice,Outcome:hit a tree,Hole:hole 15",Technical shot voice log for NLP training
"Played a fade with my putter from 70 yards, ended up rolled off the back.",ShotLog.Technical,"Club:putter,Distance:70 yards,Condition:off a downhill slope,Shape:fade,Outcome:rolled off the back,Hole:hole 7",Technical shot voice log for NLP training
Hit a 9-iron from 270 yards.,ShotLog.Technical,"Club:9-iron,Distance:270 yards,Condition:with a tailwind,Shape:push,Outcome:in the water,Hole:hole 6",Technical shot voice log for NLP training
"Lob wedge shot from 55 feet, from the rough, landed rolled off the back.",ShotLog.Technical,"Club:lob wedge,Distance:55 feet,Condition:from the rough,Shape:draw,Outcome:rolled off the back,Hole:hole 10",Technical shot voice log for NLP training
"Hit a 6-iron from 100 feet, shot a hook.",ShotLog.Technical,"Club:6-iron,Distance:100 feet,Condition:crosswind from the left,Shape:hook,Outcome:missed long,Hole:hole 11",Technical shot voice log for NLP training
Hit a 3-wood from 160 yards.,ShotLog.Technical,"Club:3-wood,Distance:160 yards,Condition:off the tee,Shape:hook,Outcome:in the bunker,Hole:hole 8",Technical shot voice log for NLP training
"Hit a driver from 130 yards, shot a pull.",ShotLog.Technical,"Club:driver,Distance:130 yards,Condition:wet fairway,Shape:pull,Outcome:rolled off the back,Hole:hole 7",Technical shot voice log for NLP training
"5-iron shot from 90 yards, wet fairway, landed in the bunker.",ShotLog.Technical,"Club:5-iron,Distance:90 yards,Condition:wet fairway,Shape:push,Outcome:in the bunker,Hole:hole 7",Technical shot voice log for NLP training
Hit a 8-iron from 5 feet.,ShotLog.Technical,"Club:8-iron,Distance:5 feet,Condition:None,Shape:straight,Outcome:on the fairway,Hole:hole 6",Technical shot voice log for NLP training
"Used my putter on hole 2, 200 yards, into the wind.",ShotLog.Technical,"Club:putter,Distance:200 yards,Condition:into the wind,Shape:draw,Outcome:landed on the green,Hole:hole 2",Technical shot voice log for NLP training
Hit a 3-iron from 230 yards.,ShotLog.Technical,"Club:3-iron,Distance:230 yards,Condition:downhill,Shape:straight,Outcome:on the fairway,Hole:hole 3",Technical shot voice log for NLP training
"Putting for 210 yards, missed .",ShotLog.Technical,"Club:7-iron,Distance:210 yards,Condition:tight lie,Shape:None,Outcome:None,Hole:hole 9",Technical shot voice log for NLP training
"Hit a pitching wedge from 70 feet, shot a hook.",ShotLog.Technical,"Club:pitching wedge,Distance:70 feet,Condition:crosswind from the left,Shape:hook,Outcome:in the rough,Hole:hole 16",Technical shot voice log for NLP training
"Took a 5-iron from 15 feet from the bunker, result was .",ShotLog.Technical,"Club:5-iron,Distance:15 feet,Condition:from the bunker,Shape:push,Outcome:None,Hole:hole 10",Technical shot voice log for NLP training
"Played a hook with my 6-iron from 210 yards, ended up missed long.",ShotLog.Technical,"Club:6-iron,Distance:210 yards,Condition:with a headwind,Shape:hook,Outcome:missed long,Hole:hole 3",Technical shot voice log for NLP training
"5-wood shot from 190 yards, with a tailwind, landed missed right.",ShotLog.Technical,"Club:5-wood,Distance:190 yards,Condition:with a tailwind,Shape:None,Outcome:missed right,Hole:hole 1",Technical shot voice log for NLP training
Pushed a 3-wood into the missed left.,ShotLog.Technical,"Club:3-wood,Distance:15 feet,Condition:from the rough,Shape:pull,Outcome:missed left,Hole:hole 3",Technical shot voice log for NLP training
"Lob wedge shot from 250 yards, with a tailwind, landed landed on the green.",ShotLog.Technical,"Club:lob wedge,Distance:250 yards,Condition:with a tailwind,Shape:fade,Outcome:landed on the green,Hole:hole 1",Technical shot voice log for NLP training
"3-iron shot from 30 feet, downhill, landed missed short.",ShotLog.Technical,"Club:3-iron,Distance:30 feet,Condition:downhill,Shape:slice,Outcome:missed short,Hole:hole 17",Technical shot voice log for NLP training
"Hit a driver from 85 feet, shot a straight.",ShotLog.Technical,"Club:driver,Distance:85 feet,Condition:tight lie,Shape:straight,Outcome:rolled off the back,Hole:hole 18",Technical shot voice log for NLP training
"Hit a 6-iron from 90 yards, shot a push.",ShotLog.Technical,"Club:6-iron,Distance:90 yards,Condition:dry fairway,Shape:push,Outcome:in the rough,Hole:hole 10",Technical shot voice log for NLP training
"Lob wedge shot from 10 feet, uphill, landed .",ShotLog.Technical,"Club:lob wedge,Distance:10 feet,Condition:uphill,Shape:straight,Outcome:None,Hole:hole 14",Technical shot voice log for NLP training
"Used my sand wedge on hole 5, 160 yards, downhill.",ShotLog.Technical,"Club:sand wedge,Distance:160 yards,Condition:downhill,Shape:None,Outcome:missed long,Hole:hole 5",Technical shot voice log for NLP training
Hit a sand wedge from 100 yards from the bunker.,ShotLog.Technical,"Club:sand wedge,Distance:100 yards,Condition:from the bunker,Shape:straight,Outcome:missed short,Hole:hole 13",Technical shot voice log for NLP training
Pushed a driver into the missed short.,ShotLog.Technical,"Club:driver,Distance:50 feet,Condition:into the wind,Shape:straight,Outcome:missed short,Hole:hole 18",Technical shot voice log for NLP training
"Used my putter on hole 12, 190 yards, .",ShotLog.Technical,"Club:putter,Distance:190 yards,Condition:None,Shape:push,Outcome:rolled off the back,Hole:hole 12",Technical shot voice log for NLP training
"Played a push with my driver from 10 feet, ended up .",ShotLog.Technical,"Club:driver,Distance:10 feet,Condition:tight lie,Shape:push,Outcome:None,Hole:hole 3",Technical shot voice log for NLP training
"Putting for 25 feet, missed .",ShotLog.Technical,"Club:5-iron,Distance:25 feet,Condition:with a tailwind,Shape:push,Outcome:None,Hole:hole 17",Technical shot voice log for NLP training
Pushed a 3-iron into the missed long.,ShotLog.Technical,"Club:3-iron,Distance:25 feet,Condition:with a tailwind,Shape:hook,Outcome:missed long,Hole:hole 1",Technical shot voice log for NLP training
Hit a 3-iron from 20 feet uphill.,ShotLog.Technical,"Club:3-iron,Distance:20 feet,Condition:uphill,Shape:None,Outcome:in the water,Hole:hole 12",Technical shot voice log for NLP training
"Hit a 8-iron from 50 feet, shot a straight.",ShotLog.Technical,"Club:8-iron,Distance:50 feet,Condition:from the bunker,Shape:straight,Outcome:rolled off the back,Hole:hole 17",Technical shot voice log for NLP training
Hit a 9-iron from 10 feet.,ShotLog.Technical,"Club:9-iron,Distance:10 feet,Condition:wet fairway,Shape:straight,Outcome:missed long,Hole:hole 9",Technical shot voice log for NLP training
"Used my 5-wood on hole 8, 90 feet, dry fairway.",ShotLog.Technical,"Club:5-wood,Distance:90 feet,Condition:dry fairway,Shape:draw,Outcome:in the water,Hole:hole 8",Technical shot voice log for NLP training
"Putting for 230 yards, missed missed long.",ShotLog.Technical,"Club:sand wedge,Distance:230 yards,Condition:from the bunker,Shape:slice,Outcome:missed long,Hole:hole 13",Technical shot voice log for NLP training
