User Phrase (Youth Tone);System Prompt (Clarification);User Response (Follow-Up);Intent
Visualization helped me big time there.;Shall I mark that as a confidence boost?;I took a deep breath before swinging.;Junior.Motivation
I was kinda nervous but went for it.;Awesome. Which hole was that on?;Yep, did my whole pre-shot thing.;Mindset.Confidence.Boost
I focused real hard before that drive.;Noted. Want to rate your mindset?;Yep, did my whole pre-shot thing.;Coach.Response.Encouragement
Coach told me to just chill and swing.;Is this a journal entry for today?;I think I stayed pretty calm.;Junior.Motivation
Not my best day, but I didn't give up.;Is this a journal entry for today?;Felt great to bounce back after that.;Cue.Visualization
Coach told me to just chill and swing.;Got it — logging that. Want to add the club?;It helped me feel more focused.;Junior.Motivation
Man, that shot felt awesome!;Should I tag this as junior feedback?;Yeah, I used my 7 iron for that.;ShotLog.Technical.Club.7Iron
Ugh, I totally messed that up.;Is this a journal entry for today?;Yeah, log it under junior stuff.;Performance.Feedback.Self
Man, that shot felt awesome!;Should I tag this as junior feedback?;That was my round reflection.;Performance.Feedback.Self
Guess what? I birdied hole 3!;Shall I mark that as a confidence boost?;Yep, did my whole pre-shot thing.;Junior.Motivation
I wasn't feelin' it but did it anyway.;Noted. Want to rate your mindset?;It helped me feel more focused.;Routine.PreShot
Coach told me to just chill and swing.;Noted. Want to rate your mindset?;Yep, did my whole pre-shot thing.;Performance.Feedback.Self
My brain was like, 'you got this!';Okay, should I mark that as a miss?;Yeah, I used my 7 iron for that.;Performance.Feedback.Self
I was kinda nervous but went for it.;Shall I mark that as a confidence boost?;It helped me feel more focused.;Journal.OffDay.Reflection
My brain was like, 'you got this!';Noted. Want to rate your mindset?;It was on hole 14, par 3.;Log.Score.Hole.14
Ugh, I totally messed that up.;Got it — logging that. Want to add the club?;Yeah, I used my 7 iron for that.;Routine.PreShot
Guess what? I birdied hole 3!;Got it — logging that. Want to add the club?;Yeah, log it under junior stuff.;Log.Score.Hole.14
Ugh, I totally messed that up.;Cool — was that part of your routine?;Felt great to bounce back after that.;Coach.Response.Encouragement
Man, that shot felt awesome!;Want to include how you bounced back?;It was on hole 14, par 3.;Log.Score.Hole.14
Not my best day, but I didn't give up.;Noted. Want to rate your mindset?;Felt great to bounce back after that.;Junior.Motivation
Coach told me to just chill and swing.;Want to include how you bounced back?;It helped me feel more focused.;Mindset.Confidence.Boost
Man, that shot felt awesome!;Cool — was that part of your routine?;It helped me feel more focused.;Journal.Game.Struggle
Guess what? I birdied hole 3!;Should I tag this as junior feedback?;Yeah, log it under junior stuff.;ShotLog.Technical.Club.7Iron
I wasn't feelin' it but did it anyway.;Okay, should I mark that as a miss?;Yeah, I used my 7 iron for that.;Performance.Feedback.Self
I focused real hard before that drive.;Got it — logging that. Want to add the club?;Felt great to bounce back after that.;ShotLog.Technical.Club.7Iron
Guess what? I birdied hole 3!;Awesome. Which hole was that on?;Yeah, I used my 7 iron for that.;Log.Score.Hole.14
Not my best day, but I didn't give up.;Awesome. Which hole was that on?;Yeah, log it under junior stuff.;Journal.Game.Struggle
Coach told me to just chill and swing.;Got it — logging that. Want to add the club?;Yep, did my whole pre-shot thing.;Coach.Response.Encouragement
Not my best day, but I didn't give up.;Want to include how you bounced back?;It was on hole 14, par 3.;Journal.OffDay.Reflection
I wasn't feelin' it but did it anyway.;Cool — was that part of your routine?;Felt great to bounce back after that.;Mindset.Confidence.Boost
Coach told me to just chill and swing.;Is this a journal entry for today?;It was on hole 14, par 3.;Log.Score.Hole.14
I wasn't feelin' it but did it anyway.;Awesome. Which hole was that on?;Felt great to bounce back after that.;Journal.OffDay.Reflection
Guess what? I birdied hole 3!;Okay, should I mark that as a miss?;Felt great to bounce back after that.;Routine.PreShot
Coach told me to just chill and swing.;Is this a journal entry for today?;Yep, did my whole pre-shot thing.;Mindset.Confidence.Boost
Coach told me to just chill and swing.;Got it — logging that. Want to add the club?;I took a deep breath before swinging.;Junior.Motivation
Guess what? I birdied hole 3!;Awesome. Which hole was that on?;Felt great to bounce back after that.;Cue.Visualization
I wasn't feelin' it but did it anyway.;Cool — was that part of your routine?;I think I stayed pretty calm.;Coach.Response.Encouragement
Visualization helped me big time there.;Want to include how you bounced back?;It helped me feel more focused.;Routine.PreShot
Visualization helped me big time there.;Got it — logging that. Want to add the club?;That was my round reflection.;Journal.OffDay.Reflection
Coach told me to just chill and swing.;Awesome. Which hole was that on?;Yeah, I used my 7 iron for that.;Performance.Feedback.Self
My brain was like, 'you got this!';Noted. Want to rate your mindset?;I think I stayed pretty calm.;Cue.Visualization
I was kinda nervous but went for it.;Cool — was that part of your routine?;Definitely boosted my confidence.;ShotLog.Technical.Club.7Iron
Ugh, I totally messed that up.;Would you like to log a cue used there?;Yep, did my whole pre-shot thing.;Performance.Feedback.Self
Man, that shot felt awesome!;Got it — logging that. Want to add the club?;It helped me feel more focused.;Routine.PreShot
Coach told me to just chill and swing.;Noted. Want to rate your mindset?;Yep, did my whole pre-shot thing.;Coach.Response.Encouragement
I wasn't feelin' it but did it anyway.;Got it — logging that. Want to add the club?;Felt great to bounce back after that.;Journal.OffDay.Reflection
I focused real hard before that drive.;Shall I mark that as a confidence boost?;I think I stayed pretty calm.;Cue.Visualization
Man, that shot felt awesome!;Shall I mark that as a confidence boost?;It helped me feel more focused.;Junior.Motivation
Not my best day, but I didn't give up.;Shall I mark that as a confidence boost?;Yeah, I used my 7 iron for that.;Routine.PreShot
Coach told me to just chill and swing.;Is this a journal entry for today?;Yeah, I used my 7 iron for that.;Junior.Motivation
I was kinda nervous but went for it.;Okay, should I mark that as a miss?;It helped me feel more focused.;Coach.Response.Encouragement
Visualization helped me big time there.;Is this a journal entry for today?;It helped me feel more focused.;Junior.Motivation
Ugh, I totally messed that up.;Cool — was that part of your routine?;I took a deep breath before swinging.;Performance.Feedback.Self
I focused real hard before that drive.;Awesome. Which hole was that on?;Yeah, I used my 7 iron for that.;Journal.Game.Struggle
Man, that shot felt awesome!;Noted. Want to rate your mindset?;Felt great to bounce back after that.;Routine.PreShot
Not my best day, but I didn't give up.;Cool — was that part of your routine?;Yeah, log it under junior stuff.;Junior.Motivation
Visualization helped me big time there.;Shall I mark that as a confidence boost?;Definitely boosted my confidence.;Coach.Response.Encouragement
I was kinda nervous but went for it.;Want to include how you bounced back?;It was on hole 14, par 3.;ShotLog.Technical.Club.7Iron
I focused real hard before that drive.;Want to include how you bounced back?;That was my round reflection.;Log.Score.Hole.14
My brain was like, 'you got this!';Is this a journal entry for today?;It helped me feel more focused.;Routine.PreShot
Coach told me to just chill and swing.;Got it — logging that. Want to add the club?;It helped me feel more focused.;Coach.Response.Encouragement
Guess what? I birdied hole 3!;Shall I mark that as a confidence boost?;That was my round reflection.;Junior.Motivation
Man, that shot felt awesome!;Awesome. Which hole was that on?;It helped me feel more focused.;Journal.OffDay.Reflection
Ugh, I totally messed that up.;Would you like to log a cue used there?;I think I stayed pretty calm.;Cue.Visualization
I focused real hard before that drive.;Would you like to log a cue used there?;I took a deep breath before swinging.;Cue.Visualization
Coach told me to just chill and swing.;Cool — was that part of your routine?;Yeah, I used my 7 iron for that.;Routine.PreShot
Not my best day, but I didn't give up.;Want to include how you bounced back?;That was my round reflection.;Journal.OffDay.Reflection
Coach told me to just chill and swing.;Want to include how you bounced back?;I think I stayed pretty calm.;Junior.Motivation
I focused real hard before that drive.;Shall I mark that as a confidence boost?;Definitely boosted my confidence.;Mindset.Confidence.Boost
My brain was like, 'you got this!';Cool — was that part of your routine?;I think I stayed pretty calm.;Performance.Feedback.Self
Not my best day, but I didn't give up.;Cool — was that part of your routine?;It was on hole 14, par 3.;ShotLog.Technical.Club.7Iron
Ugh, I totally messed that up.;Noted. Want to rate your mindset?;It helped me feel more focused.;Routine.PreShot
I was kinda nervous but went for it.;Cool — was that part of your routine?;I think I stayed pretty calm.;Journal.Game.Struggle
I focused real hard before that drive.;Noted. Want to rate your mindset?;I think I stayed pretty calm.;Junior.Motivation
Guess what? I birdied hole 3!;Awesome. Which hole was that on?;Definitely boosted my confidence.;Cue.Visualization
Guess what? I birdied hole 3!;Okay, should I mark that as a miss?;I took a deep breath before swinging.;Journal.OffDay.Reflection
My brain was like, 'you got this!';Want to include how you bounced back?;That was my round reflection.;ShotLog.Technical.Club.7Iron
I focused real hard before that drive.;Shall I mark that as a confidence boost?;Definitely boosted my confidence.;Journal.OffDay.Reflection
Visualization helped me big time there.;Okay, should I mark that as a miss?;Definitely boosted my confidence.;Journal.Game.Struggle
I wasn't feelin' it but did it anyway.;Got it — logging that. Want to add the club?;Definitely boosted my confidence.;Log.Score.Hole.14
Ugh, I totally messed that up.;Okay, should I mark that as a miss?;It helped me feel more focused.;Journal.OffDay.Reflection
Ugh, I totally messed that up.;Is this a journal entry for today?;It helped me feel more focused.;Log.Score.Hole.14
Ugh, I totally messed that up.;Want to include how you bounced back?;Definitely boosted my confidence.;Journal.Game.Struggle
My brain was like, 'you got this!';Okay, should I mark that as a miss?;I think I stayed pretty calm.;Journal.Game.Struggle
I was kinda nervous but went for it.;Should I tag this as junior feedback?;Yeah, I used my 7 iron for that.;Journal.OffDay.Reflection
I was kinda nervous but went for it.;Is this a journal entry for today?;Felt great to bounce back after that.;Performance.Feedback.Self
Ugh, I totally messed that up.;Shall I mark that as a confidence boost?;Yeah, log it under junior stuff.;Mindset.Confidence.Boost
Coach told me to just chill and swing.;Would you like to log a cue used there?;It was on hole 14, par 3.;Coach.Response.Encouragement
I was kinda nervous but went for it.;Shall I mark that as a confidence boost?;Yeah, log it under junior stuff.;Routine.PreShot
Man, that shot felt awesome!;Should I tag this as junior feedback?;Yeah, log it under junior stuff.;Journal.Game.Struggle
I focused real hard before that drive.;Got it — logging that. Want to add the club?;Yep, did my whole pre-shot thing.;Junior.Motivation
I was kinda nervous but went for it.;Noted. Want to rate your mindset?;I took a deep breath before swinging.;ShotLog.Technical.Club.7Iron
Ugh, I totally messed that up.;Noted. Want to rate your mindset?;Yeah, I used my 7 iron for that.;Coach.Response.Encouragement
Coach told me to just chill and swing.;Got it — logging that. Want to add the club?;I think I stayed pretty calm.;Cue.Visualization
My brain was like, 'you got this!';Is this a journal entry for today?;Felt great to bounce back after that.;Routine.PreShot
My brain was like, 'you got this!';Okay, should I mark that as a miss?;Yep, did my whole pre-shot thing.;ShotLog.Technical.Club.7Iron
Guess what? I birdied hole 3!;Want to include how you bounced back?;I took a deep breath before swinging.;ShotLog.Technical.Club.7Iron
Man, that shot felt awesome!;Noted. Want to rate your mindset?;Yeah, log it under junior stuff.;Routine.PreShot
Not my best day, but I didn't give up.;Shall I mark that as a confidence boost?;Yeah, I used my 7 iron for that.;Routine.PreShot
Ugh, I totally messed that up.;Want to include how you bounced back?;I think I stayed pretty calm.;Log.Score.Hole.14
Not my best day, but I didn't give up.;Want to include how you bounced back?;Yep, did my whole pre-shot thing.;Journal.OffDay.Reflection
I was kinda nervous but went for it.;Is this a journal entry for today?;Definitely boosted my confidence.;ShotLog.Technical.Club.7Iron
I was kinda nervous but went for it.;Want to include how you bounced back?;That was my round reflection.;ShotLog.Technical.Club.7Iron
Man, that shot felt awesome!;Should I tag this as junior feedback?;Yeah, I used my 7 iron for that.;Junior.Motivation
I was kinda nervous but went for it.;Cool — was that part of your routine?;It helped me feel more focused.;Routine.PreShot
I was kinda nervous but went for it.;Would you like to log a cue used there?;I took a deep breath before swinging.;Journal.Game.Struggle
Guess what? I birdied hole 3!;Should I tag this as junior feedback?;Yep, did my whole pre-shot thing.;Junior.Motivation
I was kinda nervous but went for it.;Cool — was that part of your routine?;Yep, did my whole pre-shot thing.;Junior.Motivation
I was kinda nervous but went for it.;Okay, should I mark that as a miss?;It helped me feel more focused.;ShotLog.Technical.Club.7Iron
My brain was like, 'you got this!';Would you like to log a cue used there?;Yeah, log it under junior stuff.;Coach.Response.Encouragement
Ugh, I totally messed that up.;Cool — was that part of your routine?;Yeah, I used my 7 iron for that.;Journal.OffDay.Reflection
I wasn't feelin' it but did it anyway.;Cool — was that part of your routine?;It was on hole 14, par 3.;ShotLog.Technical.Club.7Iron
Coach told me to just chill and swing.;Noted. Want to rate your mindset?;Yeah, I used my 7 iron for that.;Routine.PreShot
Ugh, I totally messed that up.;Noted. Want to rate your mindset?;Yeah, log it under junior stuff.;Cue.Visualization
Not my best day, but I didn't give up.;Got it — logging that. Want to add the club?;I took a deep breath before swinging.;Log.Score.Hole.14
I focused real hard before that drive.;Shall I mark that as a confidence boost?;It helped me feel more focused.;Performance.Feedback.Self
Not my best day, but I didn't give up.;Noted. Want to rate your mindset?;Definitely boosted my confidence.;Journal.OffDay.Reflection
Guess what? I birdied hole 3!;Noted. Want to rate your mindset?;Felt great to bounce back after that.;Coach.Response.Encouragement
Visualization helped me big time there.;Want to include how you bounced back?;I took a deep breath before swinging.;Journal.Game.Struggle
I focused real hard before that drive.;Is this a journal entry for today?;I think I stayed pretty calm.;Log.Score.Hole.14
Not my best day, but I didn't give up.;Would you like to log a cue used there?;Yeah, log it under junior stuff.;Performance.Feedback.Self
I wasn't feelin' it but did it anyway.;Got it — logging that. Want to add the club?;Felt great to bounce back after that.;Performance.Feedback.Self
Man, that shot felt awesome!;Should I tag this as junior feedback?;Yep, did my whole pre-shot thing.;Junior.Motivation
I focused real hard before that drive.;Okay, should I mark that as a miss?;It helped me feel more focused.;Journal.OffDay.Reflection
Visualization helped me big time there.;Shall I mark that as a confidence boost?;Felt great to bounce back after that.;Mindset.Confidence.Boost
Ugh, I totally messed that up.;Should I tag this as junior feedback?;Yeah, log it under junior stuff.;Routine.PreShot
Ugh, I totally messed that up.;Cool — was that part of your routine?;Yeah, I used my 7 iron for that.;Journal.OffDay.Reflection
My brain was like, 'you got this!';Would you like to log a cue used there?;I took a deep breath before swinging.;Junior.Motivation
My brain was like, 'you got this!';Cool — was that part of your routine?;Yep, did my whole pre-shot thing.;Journal.Game.Struggle
My brain was like, 'you got this!';Should I tag this as junior feedback?;I think I stayed pretty calm.;Cue.Visualization
Man, that shot felt awesome!;Awesome. Which hole was that on?;Yeah, log it under junior stuff.;Log.Score.Hole.14
Man, that shot felt awesome!;Shall I mark that as a confidence boost?;I think I stayed pretty calm.;Routine.PreShot
Ugh, I totally messed that up.;Noted. Want to rate your mindset?;It was on hole 14, par 3.;Performance.Feedback.Self
My brain was like, 'you got this!';Awesome. Which hole was that on?;Definitely boosted my confidence.;ShotLog.Technical.Club.7Iron
I focused real hard before that drive.;Want to include how you bounced back?;Felt great to bounce back after that.;ShotLog.Technical.Club.7Iron
My brain was like, 'you got this!';Shall I mark that as a confidence boost?;That was my round reflection.;Log.Score.Hole.14
Coach told me to just chill and swing.;Noted. Want to rate your mindset?;Yep, did my whole pre-shot thing.;ShotLog.Technical.Club.7Iron
My brain was like, 'you got this!';Want to include how you bounced back?;It was on hole 14, par 3.;Journal.OffDay.Reflection
My brain was like, 'you got this!';Okay, should I mark that as a miss?;Yeah, log it under junior stuff.;Performance.Feedback.Self
Coach told me to just chill and swing.;Is this a journal entry for today?;That was my round reflection.;Coach.Response.Encouragement
I focused real hard before that drive.;Got it — logging that. Want to add the club?;Definitely boosted my confidence.;ShotLog.Technical.Club.7Iron
Ugh, I totally messed that up.;Should I tag this as junior feedback?;Felt great to bounce back after that.;Journal.Game.Struggle
My brain was like, 'you got this!';Should I tag this as junior feedback?;Yeah, log it under junior stuff.;Routine.PreShot
Coach told me to just chill and swing.;Should I tag this as junior feedback?;Felt great to bounce back after that.;Routine.PreShot
Visualization helped me big time there.;Got it — logging that. Want to add the club?;That was my round reflection.;ShotLog.Technical.Club.7Iron
Not my best day, but I didn't give up.;Want to include how you bounced back?;That was my round reflection.;Cue.Visualization
Visualization helped me big time there.;Would you like to log a cue used there?;Definitely boosted my confidence.;Junior.Motivation
Guess what? I birdied hole 3!;Want to include how you bounced back?;Yep, did my whole pre-shot thing.;Routine.PreShot
Ugh, I totally messed that up.;Would you like to log a cue used there?;It helped me feel more focused.;Junior.Motivation
My brain was like, 'you got this!';Cool — was that part of your routine?;I took a deep breath before swinging.;Routine.PreShot
Visualization helped me big time there.;Should I tag this as junior feedback?;It was on hole 14, par 3.;Performance.Feedback.Self
I was kinda nervous but went for it.;Noted. Want to rate your mindset?;It helped me feel more focused.;ShotLog.Technical.Club.7Iron
Coach told me to just chill and swing.;Okay, should I mark that as a miss?;Felt great to bounce back after that.;ShotLog.Technical.Club.7Iron
Man, that shot felt awesome!;Awesome. Which hole was that on?;Yeah, log it under junior stuff.;Mindset.Confidence.Boost
Visualization helped me big time there.;Would you like to log a cue used there?;It was on hole 14, par 3.;Junior.Motivation
Ugh, I totally messed that up.;Would you like to log a cue used there?;Yeah, I used my 7 iron for that.;Log.Score.Hole.14
Ugh, I totally messed that up.;Should I tag this as junior feedback?;Yeah, I used my 7 iron for that.;Journal.OffDay.Reflection
I was kinda nervous but went for it.;Noted. Want to rate your mindset?;It was on hole 14, par 3.;Log.Score.Hole.14
My brain was like, 'you got this!';Shall I mark that as a confidence boost?;I took a deep breath before swinging.;Junior.Motivation
I wasn't feelin' it but did it anyway.;Should I tag this as junior feedback?;Yep, did my whole pre-shot thing.;ShotLog.Technical.Club.7Iron
Visualization helped me big time there.;Cool — was that part of your routine?;I think I stayed pretty calm.;Journal.Game.Struggle
I focused real hard before that drive.;Want to include how you bounced back?;I think I stayed pretty calm.;Log.Score.Hole.14
My brain was like, 'you got this!';Should I tag this as junior feedback?;That was my round reflection.;Junior.Motivation
I wasn't feelin' it but did it anyway.;Should I tag this as junior feedback?;Yep, did my whole pre-shot thing.;Coach.Response.Encouragement
I wasn't feelin' it but did it anyway.;Cool — was that part of your routine?;It was on hole 14, par 3.;ShotLog.Technical.Club.7Iron
Visualization helped me big time there.;Cool — was that part of your routine?;I think I stayed pretty calm.;Mindset.Confidence.Boost
Guess what? I birdied hole 3!;Would you like to log a cue used there?;Yeah, log it under junior stuff.;ShotLog.Technical.Club.7Iron
Ugh, I totally messed that up.;Noted. Want to rate your mindset?;It was on hole 14, par 3.;Routine.PreShot
Not my best day, but I didn't give up.;Should I tag this as junior feedback?;Yeah, log it under junior stuff.;Journal.Game.Struggle
Coach told me to just chill and swing.;Got it — logging that. Want to add the club?;I think I stayed pretty calm.;Coach.Response.Encouragement
Visualization helped me big time there.;Got it — logging that. Want to add the club?;Definitely boosted my confidence.;Mindset.Confidence.Boost
Visualization helped me big time there.;Would you like to log a cue used there?;Yep, did my whole pre-shot thing.;Journal.OffDay.Reflection
I was kinda nervous but went for it.;Would you like to log a cue used there?;That was my round reflection.;Journal.Game.Struggle
Not my best day, but I didn't give up.;Cool — was that part of your routine?;Yeah, log it under junior stuff.;Journal.OffDay.Reflection
I was kinda nervous but went for it.;Awesome. Which hole was that on?;Felt great to bounce back after that.;Cue.Visualization
Ugh, I totally messed that up.;Got it — logging that. Want to add the club?;It was on hole 14, par 3.;Coach.Response.Encouragement
I was kinda nervous but went for it.;Would you like to log a cue used there?;It was on hole 14, par 3.;Coach.Response.Encouragement
Guess what? I birdied hole 3!;Okay, should I mark that as a miss?;Felt great to bounce back after that.;Log.Score.Hole.14
My brain was like, 'you got this!';Awesome. Which hole was that on?;Yep, did my whole pre-shot thing.;Journal.OffDay.Reflection
Visualization helped me big time there.;Is this a journal entry for today?;Definitely boosted my confidence.;Cue.Visualization
Guess what? I birdied hole 3!;Okay, should I mark that as a miss?;Yeah, I used my 7 iron for that.;Routine.PreShot
I was kinda nervous but went for it.;Okay, should I mark that as a miss?;It helped me feel more focused.;Cue.Visualization
Man, that shot felt awesome!;Got it — logging that. Want to add the club?;That was my round reflection.;Performance.Feedback.Self
Coach told me to just chill and swing.;Shall I mark that as a confidence boost?;Felt great to bounce back after that.;Journal.OffDay.Reflection
Man, that shot felt awesome!;Cool — was that part of your routine?;Yeah, log it under junior stuff.;Junior.Motivation
Guess what? I birdied hole 3!;Shall I mark that as a confidence boost?;Definitely boosted my confidence.;Journal.OffDay.Reflection
Not my best day, but I didn't give up.;Okay, should I mark that as a miss?;I took a deep breath before swinging.;Coach.Response.Encouragement
My brain was like, 'you got this!';Got it — logging that. Want to add the club?;I think I stayed pretty calm.;Journal.OffDay.Reflection
Man, that shot felt awesome!;Okay, should I mark that as a miss?;Felt great to bounce back after that.;Coach.Response.Encouragement
Guess what? I birdied hole 3!;Is this a journal entry for today?;It was on hole 14, par 3.;Mindset.Confidence.Boost
Coach told me to just chill and swing.;Want to include how you bounced back?;It was on hole 14, par 3.;Routine.PreShot
My brain was like, 'you got this!';Shall I mark that as a confidence boost?;I think I stayed pretty calm.;ShotLog.Technical.Club.7Iron
My brain was like, 'you got this!';Should I tag this as junior feedback?;Yeah, I used my 7 iron for that.;Performance.Feedback.Self
Not my best day, but I didn't give up.;Should I tag this as junior feedback?;That was my round reflection.;ShotLog.Technical.Club.7Iron
Visualization helped me big time there.;Want to include how you bounced back?;Yep, did my whole pre-shot thing.;Journal.Game.Struggle
Ugh, I totally messed that up.;Noted. Want to rate your mindset?;Yep, did my whole pre-shot thing.;Journal.Game.Struggle
I wasn't feelin' it but did it anyway.;Noted. Want to rate your mindset?;Yep, did my whole pre-shot thing.;Journal.OffDay.Reflection
I focused real hard before that drive.;Should I tag this as junior feedback?;That was my round reflection.;Junior.Motivation
Guess what? I birdied hole 3!;Should I tag this as junior feedback?;I think I stayed pretty calm.;Junior.Motivation
I wasn't feelin' it but did it anyway.;Okay, should I mark that as a miss?;I took a deep breath before swinging.;Mindset.Confidence.Boost
I wasn't feelin' it but did it anyway.;Want to include how you bounced back?;It was on hole 14, par 3.;Log.Score.Hole.14
