content_id,template_id,template_name,pillar,vark_mode,level,length,scenario_tags,pressure_level,lie_type,wind_condition,region_variant,script_text,cta_question,follow_up_prompt,confidence_rating_hint,do_not_say_flags
MC_00011,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Visual,Maintain,standard,tournament_round;warmup_intention,high,fairway_bunker,moderate,UK,"Before you tee off: choose one intention. One breath. One clear plan for the first hole. That’s enough.
Stay consistent. Trust what works.
Picture the target, the start line, and the finish spot. Keep it simple and vivid.",What’s your one intention today?,Do you want a shorter version next time?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00012,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Visual,Maintain,deep,casual_social_round;new_course,medium,fairway_bunker,moderate,US,"Set your round in three lines: intention, tempo, response. Intention: stay present. Tempo: unhurried. Response: reset fast. Then begin.
Stay consistent. Trust what works.
Build a quick 3-image loop: target → start line → calm finish. Replay it once, then commit.",What’s your one intention today?,Should we keep this cue for the next hole?,stable,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00013,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Aural,Foundation,micro,first_tee_nerves;warmup_intention,low,rough,strong,US,"One intention for today: play calm, play clear. One breath. Start.
Keep it simple and repeatable.
Say one phrase to yourself: “Smooth and committed.”",What tempo do you want to feel on the first hole?,Do you want a shorter version next time?,stable,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00014,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Aural,Foundation,standard,first_tee_nerves;casual_social_round,medium,fairway_bunker,calm,AU,"Before you tee off: choose one intention. One breath. One clear plan for the first hole. That’s enough.
Keep it simple and repeatable.
Use a quiet cue phrase. One sentence, same tone every time.",What’s your one intention today?,Do you want to repeat this routine next shot?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00015,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Aural,Foundation,deep,casual_social_round;warmup_intention,high,tight,strong,AU,"Set your round in three lines: intention, tempo, response. Intention: stay present. Tempo: unhurried. Response: reset fast. Then begin.
Keep it simple and repeatable.
Set your inner voice: calm, firm, simple. One cue phrase, then silence.",What tempo do you want to feel on the first hole?,Want to log this as working well?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00016,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Aural,Build,micro,casual_social_round;tournament_round,high,rough,light,UK,"One intention for today: play calm, play clear. One breath. Start.
Add one detail: pace and commitment.
Say one phrase to yourself: “Smooth and committed.”",What tempo do you want to feel on the first hole?,Do you want to repeat this routine next shot?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00017,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Aural,Build,standard,tournament_round;casual_social_round,low,tight,light,US,"Before you tee off: choose one intention. One breath. One clear plan for the first hole. That’s enough.
Add one detail: pace and commitment.
Use a quiet cue phrase. One sentence, same tone every time.",What tempo do you want to feel on the first hole?,Want to log this as working well?,building,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00018,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Aural,Build,deep,new_course;warmup_intention,high,greenside_bunker,calm,US,"Set your round in three lines: intention, tempo, response. Intention: stay present. Tempo: unhurried. Response: reset fast. Then begin.
Add one detail: pace and commitment.
Set your inner voice: calm, firm, simple. One cue phrase, then silence.",What’s your one intention today?,Want to log this as working well?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00019,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Aural,Compete,micro,warmup_intention;first_tee_nerves,high,rough,moderate,US,"One intention for today: play calm, play clear. One breath. Start.
Narrow focus. Execute under pressure.
Say one phrase to yourself: “Smooth and committed.”",What tempo do you want to feel on the first hole?,Do you want to repeat this routine next shot?,stable,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00020,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Aural,Compete,standard,casual_social_round;tournament_round,medium,rough,light,US,"Before you tee off: choose one intention. One breath. One clear plan for the first hole. That’s enough.
Narrow focus. Execute under pressure.
Use a quiet cue phrase. One sentence, same tone every time.",What tempo do you want to feel on the first hole?,Want to log this as working well?,stable,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00021,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Aural,Compete,deep,tournament_round;new_course,high,greenside_bunker,moderate,UK,"Set your round in three lines: intention, tempo, response. Intention: stay present. Tempo: unhurried. Response: reset fast. Then begin.
Narrow focus. Execute under pressure.
Set your inner voice: calm, firm, simple. One cue phrase, then silence.",What’s your one intention today?,Want to log this as working well?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00022,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Aural,Maintain,micro,first_tee_nerves;tournament_round,low,tight,light,UK,"One intention for today: play calm, play clear. One breath. Start.
Stay consistent. Trust what works.
Say one phrase to yourself: “Smooth and committed.”",What’s your one intention today?,Do you want a shorter version next time?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00023,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Aural,Maintain,standard,new_course;warmup_intention,high,fairway_bunker,calm,US,"Before you tee off: choose one intention. One breath. One clear plan for the first hole. That’s enough.
Stay consistent. Trust what works.
Use a quiet cue phrase. One sentence, same tone every time.",What tempo do you want to feel on the first hole?,Do you want a shorter version next time?,building,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00024,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Aural,Maintain,deep,tournament_round;first_tee_nerves,high,rough,calm,AU,"Set your round in three lines: intention, tempo, response. Intention: stay present. Tempo: unhurried. Response: reset fast. Then begin.
Stay consistent. Trust what works.
Set your inner voice: calm, firm, simple. One cue phrase, then silence.",What’s your one intention today?,Want to log this as working well?,building,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00025,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,ReadWrite,Foundation,micro,casual_social_round;new_course,medium,greenside_bunker,moderate,EU,"One intention for today: play calm, play clear. One breath. Start.
Keep it simple and repeatable.
Name the task in words: “Pick. Commit. Swing.”",What tempo do you want to feel on the first hole?,Do you want a shorter version next time?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00026,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,ReadWrite,Foundation,standard,new_course;tournament_round,low,perfect,moderate,AU,"Before you tee off: choose one intention. One breath. One clear plan for the first hole. That’s enough.
Keep it simple and repeatable.
Use a short written-style checklist in your head: target, plan, commit.",What tempo do you want to feel on the first hole?,Should we keep this cue for the next hole?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00027,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,ReadWrite,Foundation,deep,first_tee_nerves;casual_social_round,medium,fairway_bunker,light,UK,"Set your round in three lines: intention, tempo, response. Intention: stay present. Tempo: unhurried. Response: reset fast. Then begin.
Keep it simple and repeatable.
Run a 4-line script: target, plan, breath, commit. Then go.",What tempo do you want to feel on the first hole?,Should we keep this cue for the next hole?,building,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00028,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,ReadWrite,Build,micro,tournament_round;first_tee_nerves,high,rough,moderate,UK,"One intention for today: play calm, play clear. One breath. Start.
Add one detail: pace and commitment.
Name the task in words: “Pick. Commit. Swing.”",What’s your one intention today?,Want to log this as working well?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00029,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,ReadWrite,Build,standard,new_course;tournament_round,medium,perfect,light,EU,"Before you tee off: choose one intention. One breath. One clear plan for the first hole. That’s enough.
Add one detail: pace and commitment.
Use a short written-style checklist in your head: target, plan, commit.",What tempo do you want to feel on the first hole?,Should we keep this cue for the next hole?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00030,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,ReadWrite,Build,deep,tournament_round;new_course,high,greenside_bunker,light,AU,"Set your round in three lines: intention, tempo, response. Intention: stay present. Tempo: unhurried. Response: reset fast. Then begin.
Add one detail: pace and commitment.
Run a 4-line script: target, plan, breath, commit. Then go.",What’s your one intention today?,Want to log this as working well?,stable,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00031,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,ReadWrite,Compete,micro,tournament_round;new_course,high,perfect,calm,US,"One intention for today: play calm, play clear. One breath. Start.
Narrow focus. Execute under pressure.
Name the task in words: “Pick. Commit. Swing.”",What’s your one intention today?,Should we keep this cue for the next hole?,stable,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00032,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,ReadWrite,Compete,standard,casual_social_round;first_tee_nerves,low,fairway_bunker,strong,US,"Before you tee off: choose one intention. One breath. One clear plan for the first hole. That’s enough.
Narrow focus. Execute under pressure.
Use a short written-style checklist in your head: target, plan, commit.",What tempo do you want to feel on the first hole?,Do you want a shorter version next time?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00033,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,ReadWrite,Compete,deep,first_tee_nerves;warmup_intention,high,greenside_bunker,calm,AU,"Set your round in three lines: intention, tempo, response. Intention: stay present. Tempo: unhurried. Response: reset fast. Then begin.
Narrow focus. Execute under pressure.
Run a 4-line script: target, plan, breath, commit. Then go.",What tempo do you want to feel on the first hole?,Should we keep this cue for the next hole?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00034,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,ReadWrite,Maintain,micro,warmup_intention;casual_social_round,low,greenside_bunker,strong,EU,"One intention for today: play calm, play clear. One breath. Start.
Stay consistent. Trust what works.
Name the task in words: “Pick. Commit. Swing.”",What tempo do you want to feel on the first hole?,Ready to reset and move on?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00035,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,ReadWrite,Maintain,standard,tournament_round;casual_social_round,high,fairway_bunker,light,AU,"Before you tee off: choose one intention. One breath. One clear plan for the first hole. That’s enough.
Stay consistent. Trust what works.
Use a short written-style checklist in your head: target, plan, commit.",What’s your one intention today?,Do you want to repeat this routine next shot?,building,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00036,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,ReadWrite,Maintain,deep,warmup_intention;tournament_round,high,fairway_bunker,light,US,"Set your round in three lines: intention, tempo, response. Intention: stay present. Tempo: unhurried. Response: reset fast. Then begin.
Stay consistent. Trust what works.
Run a 4-line script: target, plan, breath, commit. Then go.",What tempo do you want to feel on the first hole?,Do you want a shorter version next time?,building,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00037,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Kinesthetic,Foundation,micro,casual_social_round;new_course,high,rough,moderate,EU,"One intention for today: play calm, play clear. One breath. Start.
Keep it simple and repeatable.
Feel your feet. One slow exhale. Loose grip pressure.",What’s your one intention today?,Want to log this as working well?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00038,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Kinesthetic,Foundation,standard,tournament_round;new_course,low,perfect,strong,EU,"Before you tee off: choose one intention. One breath. One clear plan for the first hole. That’s enough.
Keep it simple and repeatable.
Feel posture, balance, and tempo. Let the body lead, not the noise.",What tempo do you want to feel on the first hole?,Should we keep this cue for the next hole?,building,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00039,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Kinesthetic,Foundation,deep,new_course;tournament_round,high,perfect,calm,UK,"Set your round in three lines: intention, tempo, response. Intention: stay present. Tempo: unhurried. Response: reset fast. Then begin.
Keep it simple and repeatable.
Use a body scan: feet → hands → shoulders. Exhale, then move with tempo.",What’s your one intention today?,Want to log this as working well?,building,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00040,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Kinesthetic,Build,micro,warmup_intention;first_tee_nerves,low,rough,light,EU,"One intention for today: play calm, play clear. One breath. Start.
Add one detail: pace and commitment.
Feel your feet. One slow exhale. Loose grip pressure.",What’s your one intention today?,Ready to reset and move on?,building,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00041,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Kinesthetic,Build,standard,warmup_intention;casual_social_round,high,tight,light,US,"Before you tee off: choose one intention. One breath. One clear plan for the first hole. That’s enough.
Add one detail: pace and commitment.
Feel posture, balance, and tempo. Let the body lead, not the noise.",What’s your one intention today?,Do you want a shorter version next time?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00042,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Kinesthetic,Build,deep,first_tee_nerves;tournament_round,high,greenside_bunker,strong,US,"Set your round in three lines: intention, tempo, response. Intention: stay present. Tempo: unhurried. Response: reset fast. Then begin.
Add one detail: pace and commitment.
Use a body scan: feet → hands → shoulders. Exhale, then move with tempo.",What’s your one intention today?,Ready to reset and move on?,stable,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00043,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Kinesthetic,Compete,micro,new_course;casual_social_round,high,perfect,strong,US,"One intention for today: play calm, play clear. One breath. Start.
Narrow focus. Execute under pressure.
Feel your feet. One slow exhale. Loose grip pressure.",What’s your one intention today?,Do you want a shorter version next time?,building,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00044,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Kinesthetic,Compete,standard,warmup_intention;tournament_round,low,rough,calm,AU,"Before you tee off: choose one intention. One breath. One clear plan for the first hole. That’s enough.
Narrow focus. Execute under pressure.
Feel posture, balance, and tempo. Let the body lead, not the noise.",What tempo do you want to feel on the first hole?,Do you want to repeat this routine next shot?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00045,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Kinesthetic,Compete,deep,casual_social_round;new_course,low,fairway_bunker,light,US,"Set your round in three lines: intention, tempo, response. Intention: stay present. Tempo: unhurried. Response: reset fast. Then begin.
Narrow focus. Execute under pressure.
Use a body scan: feet → hands → shoulders. Exhale, then move with tempo.",What’s your one intention today?,Want to log this as working well?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00046,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Kinesthetic,Maintain,micro,casual_social_round;first_tee_nerves,high,rough,strong,EU,"One intention for today: play calm, play clear. One breath. Start.
Stay consistent. Trust what works.
Feel your feet. One slow exhale. Loose grip pressure.",What tempo do you want to feel on the first hole?,Do you want to repeat this routine next shot?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00047,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Kinesthetic,Maintain,standard,casual_social_round;tournament_round,high,rough,calm,AU,"Before you tee off: choose one intention. One breath. One clear plan for the first hole. That’s enough.
Stay consistent. Trust what works.
Feel posture, balance, and tempo. Let the body lead, not the noise.",What tempo do you want to feel on the first hole?,Do you want a shorter version next time?,stable,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00048,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Kinesthetic,Maintain,deep,tournament_round;casual_social_round,medium,tight,strong,US,"Set your round in three lines: intention, tempo, response. Intention: stay present. Tempo: unhurried. Response: reset fast. Then begin.
Stay consistent. Trust what works.
Use a body scan: feet → hands → shoulders. Exhale, then move with tempo.",What’s your one intention today?,Do you want to repeat this routine next shot?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00049,MC_T02_PRE_SHOT_FOCUS,Pre-Shot Focus,FOCUS,Visual,Foundation,micro,tight_lie;approach_commitment,low,tight,light,US,"Pick the target. Commit to the shot. One breath. Swing.
Keep it simple and repeatable.
Picture one clear target line. See the ball start on it.",Are you fully committed to this target?,Want to log this as working well?,stable,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00050,MC_T02_PRE_SHOT_FOCUS,Pre-Shot Focus,FOCUS,Visual,Foundation,standard,club_choice_confusion;indecision_over_ball,medium,rough,moderate,US,"Decision first. Then commitment. One breath to slow the moment. One clear target. Then execute.
Keep it simple and repeatable.
Picture the target, the start line, and the finish spot. Keep it simple and vivid.",Are you fully committed to this target?,Do you want a shorter version next time?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00051,MC_T02_PRE_SHOT_FOCUS,Pre-Shot Focus,FOCUS,Visual,Foundation,deep,tight_lie;club_choice_confusion,high,rough,light,UK,"Run the sequence: choose, commit, breathe, go. If you’re still unsure, simplify the shot until you can fully commit.
Keep it simple and repeatable.
Build a quick 3-image loop: target → start line → calm finish. Replay it once, then commit.",Are you fully committed to this target?,Do you want to repeat this routine next shot?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00052,MC_T02_PRE_SHOT_FOCUS,Pre-Shot Focus,FOCUS,Visual,Build,micro,wind_adjustment;tee_shot_commitment,medium,rough,moderate,UK,"Pick the target. Commit to the shot. One breath. Swing.
Add one detail: pace and commitment.
Picture one clear target line. See the ball start on it.",Are you fully committed to this target?,Want to log this as working well?,building,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00053,MC_T02_PRE_SHOT_FOCUS,Pre-Shot Focus,FOCUS,Visual,Build,standard,indecision_over_ball;approach_commitment,low,perfect,light,US,"Decision first. Then commitment. One breath to slow the moment. One clear target. Then execute.
Add one detail: pace and commitment.
Picture the target, the start line, and the finish spot. Keep it simple and vivid.",Are you fully committed to this target?,Want to log this as working well?,building,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00054,MC_T02_PRE_SHOT_FOCUS,Pre-Shot Focus,FOCUS,Visual,Build,deep,tee_shot_commitment;indecision_over_ball,low,rough,moderate,AU,"Run the sequence: choose, commit, breathe, go. If you’re still unsure, simplify the shot until you can fully commit.
Add one detail: pace and commitment.
Build a quick 3-image loop: target → start line → calm finish. Replay it once, then commit.",What’s the simplest shot you can commit to here?,Ready to reset and move on?,building,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00055,MC_T02_PRE_SHOT_FOCUS,Pre-Shot Focus,FOCUS,Visual,Compete,micro,tee_shot_commitment;indecision_over_ball,low,fairway_bunker,calm,AU,"Pick the target. Commit to the shot. One breath. Swing.
Narrow focus. Execute under pressure.
Picture one clear target line. See the ball start on it.",Are you fully committed to this target?,Do you want a shorter version next time?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00056,MC_T02_PRE_SHOT_FOCUS,Pre-Shot Focus,FOCUS,Visual,Compete,standard,club_choice_confusion;tee_shot_commitment,low,greenside_bunker,calm,AU,"Decision first. Then commitment. One breath to slow the moment. One clear target. Then execute.
Narrow focus. Execute under pressure.
Picture the target, the start line, and the finish spot. Keep it simple and vivid.",What’s the simplest shot you can commit to here?,Want to log this as working well?,stable,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00057,MC_T02_PRE_SHOT_FOCUS,Pre-Shot Focus,FOCUS,Visual,Compete,deep,club_choice_confusion;wind_adjustment,low,greenside_bunker,light,AU,"Run the sequence: choose, commit, breathe, go. If you’re still unsure, simplify the shot until you can fully commit.
Narrow focus. Execute under pressure.
Build a quick 3-image loop: target → start line → calm finish. Replay it once, then commit.",What’s the simplest shot you can commit to here?,Do you want a shorter version next time?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00058,MC_T02_PRE_SHOT_FOCUS,Pre-Shot Focus,FOCUS,Visual,Maintain,micro,tee_shot_commitment;wind_adjustment,low,rough,strong,US,"Pick the target. Commit to the shot. One breath. Swing.
Stay consistent. Trust what works.
Picture one clear target line. See the ball start on it.",What’s the simplest shot you can commit to here?,Do you want a shorter version next time?,stable,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00059,MC_T02_PRE_SHOT_FOCUS,Pre-Shot Focus,FOCUS,Visual,Maintain,standard,indecision_over_ball;approach_commitment,low,fairway_bunker,strong,UK,"Decision first. Then commitment. One breath to slow the moment. One clear target. Then execute.
Stay consistent. Trust what works.
Picture the target, the start line, and the finish spot. Keep it simple and vivid.",What’s the simplest shot you can commit to here?,Do you want to repeat this routine next shot?,building,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00060,MC_T02_PRE_SHOT_FOCUS,Pre-Shot Focus,FOCUS,Visual,Maintain,deep,tight_lie;approach_commitment,high,greenside_bunker,calm,EU,"Run the sequence: choose, commit, breathe, go. If you’re still unsure, simplify the shot until you can fully commit.
Stay consistent. Trust what works.
Build a quick 3-image loop: target → start line → calm finish. Replay it once, then commit.",What’s the simplest shot you can commit to here?,Do you want to repeat this routine next shot?,stable,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00061,MC_T02_PRE_SHOT_FOCUS,Pre-Shot Focus,FOCUS,Aural,Foundation,micro,wind_adjustment;indecision_over_ball,low,rough,strong,EU,"Pick the target. Commit to the shot. One breath. Swing.
Keep it simple and repeatable.
Say one phrase to yourself: “Smooth and committed.”",Are you fully committed to this target?,Do you want to repeat this routine next shot?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00062,MC_T02_PRE_SHOT_FOCUS,Pre-Shot Focus,FOCUS,Aural,Foundation,standard,indecision_over_ball;wind_adjustment,medium,fairway_bunker,moderate,US,"Decision first. Then commitment. One breath to slow the moment. One clear target. Then execute.
Keep it simple and repeatable.
Use a quiet cue phrase. One sentence, same tone every time.",What’s the simplest shot you can commit to here?,Do you want a shorter version next time?,building,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00063,MC_T02_PRE_SHOT_FOCUS,Pre-Shot Focus,FOCUS,Aural,Foundation,deep,tight_lie;club_choice_confusion,medium,rough,strong,EU,"Run the sequence: choose, commit, breathe, go. If you’re still unsure, simplify the shot until you can fully commit.
Keep it simple and repeatable.
Set your inner voice: calm, firm, simple. One cue phrase, then silence.",Are you fully committed to this target?,Do you want a shorter version next time?,building,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
